,0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,10.0
6,0.0
7,12.0
8,4.0
9,0.0
10,0.0
11,0.0
12,1.0
13,0.0
14,0.0
15,0.0
16,0.0
17,1.0
18,12.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,1.0
25,0.0
26,3.0
27,0.0
28,0.0
29,5.0
30,0.0
31,2.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,2.0
38,5.0
39,1.0
40,0.0
41,0.0
42,11.0
43,0.0
44,0.0
45,0.0
46,0.0
47,3.0
48,0.0
49,2.0
50,0.0
51,1.0
52,0.0
53,0.0
54,1.0
55,2.0
56,1.0
57,2.0
58,0.0
59,0.0
60,0.0
61,0.0
62,1.0
63,0.0
64,0.0
65,1.0
66,2.0
67,1.0
68,0.0
69,0.0
70,0.0
71,0.0
72,3.0
73,2.0
74,1.0
75,19.0
76,7.0
77,3.0
78,0.0
79,1.0
80,0.0
81,0.0
82,1.0
83,0.0
84,0.0
85,6.0
86,7.0
87,2.0
88,8.0
89,1.0
90,0.0
91,3.0
92,9.0
93,3.0
94,3.0
95,4.0
96,1.0
97,2.0
98,21.0
99,10.0
100,3.0
101,0.0
102,1.0
103,1.0
104,0.0
105,0.0
106,5.0
107,27.0
108,1.0
109,4.0
110,0.0
111,0.0
112,1.0
113,10.0
114,7.0
115,8.0
116,17.0
117,40.0
118,87.0
119,45.0
120,37.0
121,1.0
122,1.0
123,3.0
124,39.0
125,168.0
126,42.0
127,368.0
128,33.0
129,29.0
130,41.0
131,31.0
132,126.0
133,93.0
134,71.0
135,54.0
136,60.0
137,109.0
138,533.0
139,457.0
140,130.0
141,63.0
142,136.0
143,396.0
144,728.0
145,1.976
146,645.0
147,4.198
148,839.0
149,960.0
150,445.0
151,194.0
152,1.682
153,425.0
154,739.0
155,679.0
156,1.1
157,1.3969999999999998
158,2.188
159,1.493
160,509.0
161,209.0
162,265.0
163,290.0
164,1.949
165,3.9419999999999997
166,1.9780000000000002
167,4.253
168,2.37
169,2.08
170,1.666
171,1.265
172,2.531
173,1.204
174,1.996
175,2.136
176,2.175
177,2.928
178,3.5860000000000003
179,3.429
180,44.0
181,60.0
182,18.0
183,137.0
184,687.0
185,740.0
186,461.0
187,547.0
188,316.0
189,203.0
190,652.0
191,565.0
192,292.0
193,97.0
194,348.0
195,258.0
196,406.0
197,905.0
198,509.0
199,1.508
200,0.0
201,0.0
202,0.0
203,1.0
204,86.0
205,15.0
206,10.0
207,14.0
208,18.0
209,7.0
210,4.0
211,33.0
212,39.0
213,74.0
214,13.0
215,79.0
216,56.0
217,115.0
218,46.0
219,98.0
220,7.0
221,0.0
222,0.0
223,0.0
224,1.0
225,1.0
226,7.0
227,2.0
228,0.0
229,0.0
230,0.0
231,1.0
232,0.0
233,4.0
234,1.0
235,3.0
236,6.0
237,8.0
238,6.0
239,0.0
240,58.0
241,11.0
242,5.0
243,12.0
244,150.0
245,9.0
246,83.0
247,29.0
248,33.0
249,55.0
250,104.0
251,23.0
252,41.0
253,36.0
254,49.0
255,54.0
256,81.0
257,24.0
258,38.0
259,38.0
260,0.0
261,20.0
262,16.0
263,4.0
264,15.0
265,33.0
266,7.0
267,31.0
268,14.0
269,28.0
270,74.0
271,32.0
272,26.0
273,33.0
274,41.0
275,19.0
276,29.0
277,46.0
278,14.0
279,21.0
280,0.0
281,52.0
282,32.0
283,0.0
284,27.0
285,15.0
286,16.0
287,35.0
288,37.0
289,7.0
290,31.0
291,31.0
292,70.0
293,34.0
294,44.0
295,31.0
296,28.0
297,32.0
298,9.0
299,23.0
300,0.0
301,4.0
302,20.0
303,0.0
304,6.0
305,20.0
306,6.0
307,1.0
308,2.0
309,1.0
310,18.0
311,5.0
312,3.0
313,17.0
314,18.0
315,25.0
316,16.0
317,63.0
318,13.0
319,7.0
320,0.0
321,1.0
322,1.0
323,2.0
324,1.0
325,1.0
326,3.0
327,0.0
328,0.0
329,0.0
330,0.0
331,0.0
332,0.0
333,0.0
334,21.0
335,2.0
336,1.0
337,18.0
338,4.0
339,1.0
340,0.0
341,0.0
342,0.0
343,2.0
344,0.0
345,0.0
346,0.0
347,0.0
348,0.0
349,0.0
350,0.0
351,0.0
352,0.0
353,2.0
354,4.0
355,1.0
356,2.0
357,2.0
358,5.0
359,2.0
360,0.0
361,0.0
362,0.0
363,0.0
364,5.0
365,0.0
366,0.0
367,0.0
368,0.0
369,0.0
370,0.0
371,0.0
372,2.0
373,0.0
374,0.0
375,0.0
376,1.0
377,0.0
378,3.0
379,0.0
380,1.0
381,3.0
382,4.0
383,1.0
384,3.0
385,2.0
386,2.0
387,2.0
388,1.0
389,3.0
390,1.0
391,0.0
392,1.0
393,4.0
394,0.0
395,0.0
396,3.0
397,3.0
398,5.0
399,1.0
400,14.0
401,3.0
402,22.0
403,5.0
404,14.0
405,8.0
406,5.0
407,7.0
408,4.0
409,2.0
410,9.0
411,13.0
412,5.0
413,5.0
414,6.0
415,4.0
416,11.0
417,7.0
418,18.0
419,4.0
420,20.0
421,4.0
422,13.0
423,15.0
424,30.0
425,10.0
426,12.0
427,17.0
428,32.0
429,6.0
430,18.0
431,30.0
432,16.0
433,23.0
434,28.0
435,25.0
436,7.0
437,40.0
438,74.0
439,14.0
440,19.0
441,15.0
442,2.0
443,22.0
444,50.0
445,17.0
446,28.0
447,25.0
448,12.0
449,15.0
450,37.0
451,55.0
452,31.0
453,23.0
454,95.0
455,10.0
456,14.0
457,162.0
458,76.0
459,10.0
460,32.0
461,12.0
462,2.0
463,30.0
464,95.0
465,43.0
466,71.0
467,16.0
468,30.0
469,33.0
470,34.0
471,55.0
472,45.0
473,50.0
474,59.0
475,42.0
476,24.0
477,136.0
478,155.0
479,0.0
480,0.0
481,2.0
482,0.0
483,7.0
484,31.0
485,38.0
486,109.0
487,6.0
488,0.0
489,2.0
490,4.0
491,2.0
492,0.0
493,30.0
494,3.0
495,10.0
496,14.0
497,19.0
498,2.0
499,0.0
500,1.0
501,0.0
502,0.0
503,2.0
504,0.0
505,2.0
506,1.0
507,2.0
508,0.0
509,0.0
510,0.0
511,0.0
512,3.0
513,5.0
514,0.0
515,2.0
516,1.0
517,1.0
518,0.0
519,0.0
520,2.0
521,0.0
522,0.0
523,0.0
524,1.0
525,0.0
526,0.0
527,0.0
528,0.0
529,1.0
530,1.0
531,2.0
532,0.0
533,1.0
534,0.0
535,1.0
536,2.0
537,5.0
538,0.0
539,0.0
540,0.0
541,0.0
542,0.0
543,0.0
544,2.0
545,0.0
546,0.0
547,0.0
548,0.0
549,2.0
550,0.0
551,2.0
552,0.0
553,2.0
554,2.0
555,0.0
556,0.0
557,0.0
558,3.0
559,0.0
560,0.0
561,0.0
562,0.0
563,3.0
564,0.0
565,0.0
566,0.0
567,0.0
568,0.0
