state,month
Acre,January
Acre,January
Acre,January
Acre,January
Acre,January
Acre,January
Acre,January
Acre,January
Acre,January
Acre,January
Acre,January
Acre,January
Acre,January
Acre,January
Acre,January
Acre,January
Acre,January
Acre,January
Acre,January
Acre,January
Acre,February
Acre,February
Acre,February
Acre,February
Acre,February
Acre,February
Acre,February
Acre,February
Acre,February
Acre,February
Acre,February
Acre,February
Acre,February
Acre,February
Acre,February
Acre,February
Acre,February
Acre,February
Acre,February
Acre,February
Acre,March
Acre,March
Acre,March
Acre,March
Acre,March
Acre,March
Acre,March
Acre,March
Acre,March
Acre,March
Acre,March
Acre,March
Acre,March
Acre,March
Acre,March
Acre,March
Acre,March
Acre,March
Acre,March
Acre,March
Acre,April
Acre,April
Acre,April
Acre,April
Acre,April
Acre,April
Acre,April
Acre,April
Acre,April
Acre,April
Acre,April
Acre,April
Acre,April
Acre,April
Acre,April
Acre,April
Acre,April
Acre,April
Acre,April
Acre,April
Acre,May
Acre,May
Acre,May
Acre,May
Acre,May
Acre,May
Acre,May
Acre,May
Acre,May
Acre,May
Acre,May
Acre,May
Acre,May
Acre,May
Acre,May
Acre,May
Acre,May
Acre,May
Acre,May
Acre,May
Acre,June
Acre,June
Acre,June
Acre,June
Acre,June
Acre,June
Acre,June
Acre,June
Acre,June
Acre,June
Acre,June
Acre,June
Acre,June
Acre,June
Acre,June
Acre,June
Acre,June
Acre,June
Acre,June
Acre,June
Acre,July
Acre,July
Acre,July
Acre,July
Acre,July
Acre,July
Acre,July
Acre,July
Acre,July
Acre,July
Acre,July
Acre,July
Acre,July
Acre,July
Acre,July
Acre,July
Acre,July
Acre,July
Acre,July
Acre,July
Acre,August
Acre,August
Acre,August
Acre,August
Acre,August
Acre,August
Acre,August
Acre,August
Acre,August
Acre,August
Acre,August
Acre,August
Acre,August
Acre,August
Acre,August
Acre,August
Acre,August
Acre,August
Acre,August
Acre,August
Acre,September
Acre,September
Acre,September
Acre,September
Acre,September
Acre,September
Acre,September
Acre,September
Acre,September
Acre,September
Acre,September
Acre,September
Acre,September
Acre,September
Acre,September
Acre,September
Acre,September
Acre,September
Acre,September
Acre,September
Acre,October
Acre,October
Acre,October
Acre,October
Acre,October
Acre,October
Acre,October
Acre,October
Acre,October
Acre,October
Acre,October
Acre,October
Acre,October
Acre,October
Acre,October
Acre,October
Acre,October
Acre,October
Acre,October
Acre,October
Acre,November
Acre,November
