"Date","Longitude","Latitude","Elevation","Max Temperature","Min Temperature","Precipitation","Wind","Relative Humidity","Solar"
"1/1/1979","-38.4375","-3.90285992622375","21","32.418","25.321","0","7.81055820539505","0.584861672112927","26.9018946",
"1/2/1979","-38.4375","-3.90285992622375","21","32.608","25.362","0","6.99309256622851","0.58339522052206","26.78388858",
"1/3/1979","-38.4375","-3.90285992622375","21","32.598","24.409","0","6.5340671020831","0.615889533931835","26.63077428",
"1/4/1979","-38.4375","-3.90285992622375","21","31.837","25.471","0","6.49208375055074","0.640904450781709","25.4022723",
"1/5/1979","-38.4375","-3.90285992622375","21","31.686","24.607","0.49695948","5.0037656124458","0.700333421931813","25.3138527",
"1/6/1979","-38.4375","-3.90285992622375","21","32.141","24.495","0.101280096","4.78823772996172","0.709139541160703","26.8936839",
"1/7/1979","-38.4375","-3.90285992622375","21","30.948","23.724","3.9173100264","4.19356816126312","0.717825558836033","26.6631813",
"1/8/1979","-38.4375","-3.90285992622375","21","31.495","23.641","0.609398424","4.26873774218349","0.715704534356176","26.87466762",
"1/9/1979","-38.4375","-3.90285992622375","21","31.545","23.897","1.13983164","5.18422374965496","0.69581330891401","26.802895968",
"1/10/1979","-38.4375","-3.90285992622375","21","32.795","25.077","0","5.5318734172258","0.641690532390761","27.11436048",
"1/11/1979","-38.4375","-3.90285992622375","21","33.033","25.219","0.0600815088","5.82421779326324","0.647810898426918","27.04544532",
"1/12/1979","-38.4375","-3.90285992622375","21","31.978","25.172","0","5.65115222109476","0.665064674479635","26.9620371",
"1/13/1979","-38.4375","-3.90285992622375","21","30.826","24.961","5.18588856","4.38695828996468","0.742886621436794","17.50719042",
"1/14/1979","-38.4375","-3.90285992622375","21","30.802","24.104","3.40576164","4.83894315863424","0.739181524411756","25.3433808",
"1/15/1979","-38.4375","-3.90285992622375","21","29.605","24.205","8.55388656","3.6220856369805","0.795620030664421","20.50649946",
"1/16/1979","-38.4375","-3.90285992622375","21","28.9","23.902","6.46905888","3.24597677817668","0.799155351881225","18.49871268",
"1/17/1979","-38.4375","-3.90285992622375","21","30.711","23.475","6.89563836","4.20277689879454","0.744001349254486","25.4966643",
