"Date","Longitude","Latitude","Elevation","Max Temperature","Min Temperature","Precipitation","Wind","Relative Humidity","Solar"
"1/1/1979","-40.3125","-18.2653999328613","137","30.295","19.862","0.911522628","1.14431916576834","0.88166176602703","17.36055144",
"1/2/1979","-40.3125","-18.2653999328613","137","29.639","18.02","4.2254423064","1.1781853754991","0.88752361479422","28.7803737",
"1/3/1979","-40.3125","-18.2653999328613","137","29.462","18.241","0.7999420608","1.28999039299853","0.864014339796617","25.5177495",
"1/4/1979","-40.3125","-18.2653999328613","137","31.302","18.469","0","1.70279270602477","0.793813990072289","29.60127828",
"1/5/1979","-40.3125","-18.2653999328613","137","23.362","19.347","2.104569036","2.48598812125161","0.910502810591234","7.77233682",
"1/6/1979","-40.3125","-18.2653999328613","137","19.994","18.555","10.22930244","1.63726234072377","0.955142004710551","2.79579438",
"1/7/1979","-40.3125","-18.2653999328613","137","20.299","18.478","36.2634678","1.94284219381544","0.970578921976821","2.21574348",
"1/8/1979","-40.3125","-18.2653999328613","137","20.933","18.102","44.463726","1.4664709622627","0.97056149650565","3.13144038",
"1/9/1979","-40.3125","-18.2653999328613","137","24.565","17.688","9.85507524","2.07735948701972","0.939734431816723","22.172843448",
"1/10/1979","-40.3125","-18.2653999328613","137","26.444","18.18","5.6493738864","1.87755462379748","0.912738576841816","25.24212864",
"1/11/1979","-40.3125","-18.2653999328613","137","26.754","19.015","3.9138787584","1.86296793069961","0.915779494063466","24.21387216",
"1/12/1979","-40.3125","-18.2653999328613","137","26.594","20.416","5.980681044","1.28579610501733","0.916397574229766","18.6853509",
"1/13/1979","-40.3125","-18.2653999328613","137","26.811","20.42","3.68728578","1.46430421158727","0.915243027340143","13.58071596",
"1/14/1979","-40.3125","-18.2653999328613","137","23.529","19.578","8.6706234864","2.06513515331009","0.954854173106075","7.6525299",
"1/15/1979","-40.3125","-18.2653999328613","137","23.908","19.914","13.051411668","2.10215672872487","0.962509366979921","9.46411344",
"1/16/1979","-40.3125","-18.2653999328613","137","22.536","20.631","15.495876","1.32211263139047","0.970144627383428","3.11624964",
"1/17/1979","-40.3125","-18.2653999328613","137","26.323","20.707","22.5305604","1.43828671632215","0.950925364643997","17.46438534",
"1/18/1979","-40.3125","-18.2653999328613","137","26.113","21.238","23.75965296","1.39793056349692","0.947669446771467","25.017863832",
"1/19/1979","-40.3125","-18.2653999328613","137","26.094","20.265","7.77282444","1.38308626015012","0.936863778646396","21.311555832",
"1/20/1979","-40.3125","-18.2653999328613","137","30.523","20.383","2.1801016584","0.884970109947541","0.900676474381604","20.43584946",
"1/21/1979","-40.3125","-18.2653999328613","137","29.217","20.728","3.637505592","1.00981056798688","0.884915809762535","25.621702272",
"1/22/1979","-40.3125","-18.2653999328613","137","30.734","20.33","61.5955628592","1.67848489739275","0.892283213008284","26.209014552",
"1/23/1979","-40.3125","-18.2653999328613","137","24.763","19.849","48.5304202584","1.32728467230772","0.948576782090681","9.54590436",
"1/24/1979","-40.3125","-18.2653999328613","137","27.914","21.198","8.0423334","1.26773665523845","0.916438028816424","21.859645032",
"1/25/1979","-40.3125","-18.2653999328613","137","27.151","20.129","6.647593644","1.23204138040028","0.930630003791035","24.80016726",
"1/26/1979","-40.3125","-18.2653999328613","137","27.869","19.884","2.0625101424","1.08354358528316","0.914628866461527","18.83367639",
"1/27/1979","-40.3125","-18.2653999328613","137","27.61","19.387","5.3335198584","1.25949765022217","0.911828675059372","21.76762572",
"1/28/1979","-40.3125","-18.2653999328613","137","28.097","20.076","6.346320912","1.29094617313862","0.915822025438317","18.88762554",
"1/29/1979","-40.3125","-18.2653999328613","137","29.176","20.666","3.5971617744","1.66625110864859","0.889363053791661","26.037281232",
"1/30/1979","-40.3125","-18.2653999328613","137","28.296","20.666","3.5662650552","1.37397419028461","0.908081609280486","17.7266835",
"1/31/1979","-40.3125","-18.2653999328613","137","28.612","19.879","4.6743430968","1.55043056367637","0.883969759896383","24.04608948",
"2/1/1979","-40.3125","-18.2653999328613","137","25.219","21.256","1.1587146912","1.44043288936654","0.932066774194556","8.01556569",
"2/2/1979","-40.3125","-18.2653999328613","137","25.473","21.031","4.27437072","1.50673602556162","0.928654837694013","12.21277059",
"2/3/1979","-40.3125","-18.2653999328613","137","23.651","20.725","1.71232218","0.952171236493601","0.955600466763359","3.61446075",
"2/4/1979","-40.3125","-18.2653999328613","137","25.177","20.478","0.4720687128","1.32974082571453","0.914751658932764","13.015570752",
"2/5/1979","-40.3125","-18.2653999328613","137","26.9","19.694","6.2416070064","1.20599740571193","0.917112806691475","24.85305504",
"2/6/1979","-40.3125","-18.2653999328613","137","25.739","21.314","3.2555583648","1.46501274712089","0.933566745385081","12.54048759",
"2/7/1979","-40.3125","-18.2653999328613","137","27.45","20.039","0.1064300832","1.40014457413597","0.880794252538956","19.66348035",
"2/8/1979","-40.3125","-18.2653999328613","137","27.999","17.603","0.2094270624","1.28526807473506","0.871605403594929","22.31415288",
"2/9/1979","-40.3125","-18.2653999328613","137","28.581","18.687","6.572489508","1.11272636813575","0.922513149356796","23.96182122",
"2/10/1979","-40.3125","-18.2653999328613","137","28.799","19.563","1.7423619624","0.914298042196132","0.890734570927681","17.94807603",
"2/11/1979","-40.3125","-18.2653999328613","137","31.127","17.846","0.9647370792","1.28066648610592","0.862611887420575","27.71645166",
"2/12/1979","-40.3125","-18.2653999328613","137","29.317","17.795","2.4581910528","1.10253352305942","0.848239740244922","28.101422232",
