"Date","Longitude","Latitude","Elevation","Max Temperature","Min Temperature","Precipitation","Wind","Relative Humidity","Solar"
"1/1/1979","-50","-1.40503001213074","4","34.75","21.995","0","1.74921337049912","0.644360628167229","19.48809618",
"1/2/1979","-50","-1.40503001213074","4","32.278","22.205","5.3120646576","2.16139102551771","0.725163203760563","25.17361722",
"1/3/1979","-50","-1.40503001213074","4","33.268","21.068","5.6716934256","1.83641648403145","0.798717252376345","21.4971741",
"1/4/1979","-50","-1.40503001213074","4","30.529","21.517","4.9936295664","1.54686115891614","0.837422947763851","26.0110071",
"1/5/1979","-50","-1.40503001213074","4","31.564","21.523","6.3274373064","1.36443773063954","0.883325790009058","26.10883296",
"1/6/1979","-50","-1.40503001213074","4","29.053","21.708","3.2564161944","1.50603064518085","0.895985511750162","17.00994564",
"1/7/1979","-50","-1.40503001213074","4","29.654","21.635","6.715398636","1.3763097374517","0.916018477470964","17.18094438",
"1/8/1979","-50","-1.40503001213074","4","30.894","22.017","2.5440212664","1.72936575589653","0.811997462659659","26.20114092",
"1/9/1979","-50","-1.40503001213074","4","30.529","21.542","2.37236004","1.99311711575594","0.823120502229287","24.73959492",
"1/10/1979","-50","-1.40503001213074","4","31.002","21.651","8.7083830584","1.34519880781832","0.889205056895219","20.63992662",
"1/11/1979","-50","-1.40503001213074","4","30.284","22.318","1.9535067864","1.39197681578469","0.849796654243974","20.4095259",
"1/12/1979","-50","-1.40503001213074","4","30.978","22.551","6.8132428704","1.49458503071625","0.869154693043678","20.838717",
"1/13/1979","-50","-1.40503001213074","4","31.387","21.786","1.874542644","1.52612823931965","0.838918976085764","22.42799802",
"1/14/1979","-50","-1.40503001213074","4","30.522","21.923","7.7470761384","1.66303281572177","0.880621015874004","23.9698665",
"1/15/1979","-50","-1.40503001213074","4","30.98","22.442","1.266861276","1.83454727257719","0.839361461414693","19.00046376",
"1/16/1979","-50","-1.40503001213074","4","27.238","22.528","9.7632441216","1.80768250292273","0.913921544156898","21.9166263",
"1/17/1979","-50","-1.40503001213074","4","23.961","22.037","9.19418472","1.25658115093013","0.972051427076495","2.5206201",
"1/18/1979","-50","-1.40503001213074","4","27.237","21.638","1.2737275704","1.41076830854328","0.889951190205088","8.75502846",
"1/19/1979","-50","-1.40503001213074","4","29.516","22.304","9.6568133904","1.40160753017266","0.89108853749119","23.08568058",
"1/20/1979","-50","-1.40503001213074","4","33.642","23.132","5.1429744","1.4346807024512","0.837641594812014","24.245938872",
"1/21/1979","-50","-1.40503001213074","4","34.043","23.158","3.4606945944","1.66245632221824","0.826277254265929","22.078862118",
"1/22/1979","-50","-1.40503001213074","4","33.635","22.454","1.308057696","1.60002404652076","0.799443772091976","21.18589362",
"1/23/1979","-50","-1.40503001213074","4","32.334","22.542","3.3559844184","1.55199876645635","0.841418759766297","24.117019056",
"1/24/1979","-50","-1.40503001213074","4","31.967","22.803","2.6247003048","1.68048359427449","0.831824211850976","22.91215248",
"1/25/1979","-50","-1.40503001213074","4","32.385","22.038","2.2616380008","1.33249395639941","0.828315410425559","23.38228179",
"1/26/1979","-50","-1.40503001213074","4","32.527","22.342","2.786922576","1.68584542237709","0.848486562668539","19.823794092",
"1/27/1979","-50","-1.40503001213074","4","32.523","22.015","3.1431197592","1.99305346333993","0.82875625097498","25.9466715",
"1/28/1979","-50","-1.40503001213074","4","30.33","21.721","4.2520553064","1.70243371247846","0.87862280395462","23.63017572",
"1/29/1979","-50","-1.40503001213074","4","31.383","22.507","4.2280179408","1.14072990893691","0.899443986802482","17.24023584",
"1/30/1979","-50","-1.40503001213074","4","29.581","22.71","5.4862992288","1.49516003618587","0.905389727928711","20.64645234",
"1/31/1979","-50","-1.40503001213074","4","27.968","22.352","10.4112674424","1.44871131246968","0.931793998009986","21.19932594",
"2/1/1979","-50","-1.40503001213074","4","27.464","22.34","1.1346822216","1.82181524777817","0.89242125415955","10.58568462",
"2/2/1979","-50","-1.40503001213074","4","27.771","22.115","16.2614770128","1.355579101976","0.929190139219613","19.20773862",
"2/3/1979","-50","-1.40503001213074","4","30.174","22.681","2.7362824992","1.8142808471273","0.882121878790572","18.95191506",
"2/4/1979","-50","-1.40503001213074","4","29.89","22.443","5.55839208","1.69323720837599","0.894171347199843","20.39720832",
"2/5/1979","-50","-1.40503001213074","4","30.884","22.821","12.7252589904","1.29507134005255","0.901085274854052","23.12729559",
"2/6/1979","-50","-1.40503001213074","4","26.722","22.853","9.469700316","1.36159558667927","0.946300049114694","15.10210746",
"2/7/1979","-50","-1.40503001213074","4","31.043","22.227","9.93060396","1.30855969525415","0.900739807391093","22.78226439",
"2/8/1979","-50","-1.40503001213074","4","28.815","22.314","3.183458832","1.40815681198017","0.896925786048979","12.91708251",
"2/9/1979","-50","-1.40503001213074","4","31.698","22.499","4.3936763112","1.1456224966603","0.859350713376072","20.169730242",
"2/10/1979","-50","-1.40503001213074","4","28.641","22.804","6.43215528","1.0257464445647","0.917725656407798","13.060176282",
"2/11/1979","-50","-1.40503001213074","4","31.537","20.861","6.1248731328","1.1545824046509","0.897287477101154","20.333699208",
"2/12/1979","-50","-1.40503001213074","4","31.161","20.541","1.256561568","1.67050092456563","0.753382788858933","23.4244701",
"2/13/1979","-50","-1.40503001213074","4","32.801","18.839","4.81252752","1.29668893186153","0.813271032714628","23.91654744",
"2/14/1979","-50","-1.40503001213074","4","31.563","22.536","3.7722610296","1.31200979429817","0.880186898706222","21.714184998",
"2/15/1979","-50","-1.40503001213074","4","31.747","21.826","2.5697713536","1.44159752236434","0.858510400690535","23.27878728",
"2/16/1979","-50","-1.40503001213074","4","27.918","22.49","8.2878098544","1.25773446968867","0.930304436989348","16.11225495",
"2/17/1979","-50","-1.40503001213074","4","29.044","22.752","12.809370168","1.19457336607311","0.942224871968507","15.814293858",
"2/18/1979","-50","-1.40503001213074","4","31.281","22.452","2.0427706368","1.27623061256345","0.852102721566572","19.567852182",
"2/19/1979","-50","-1.40503001213074","4","30.808","22.113","1.5981681888","1.4156529990992","0.839630597262344","24.324021468",
"2/20/1979","-50","-1.40503001213074","4","31.547","22.66","7.5925819584","1.18840757390123","0.868524524354631","22.70109204",
"2/21/1979","-50","-1.40503001213074","4","26.165","23.502","10.409541876","0.721211319533318","0.964760213302806","4.725562572",
"2/22/1979","-50","-1.40503001213074","4","25.857","22.901","17.36011584","1.03485985387367","0.968328315564461","6.860416482",
"2/23/1979","-50","-1.40503001213074","4","24.251","21.58","16.9730226","0.61317829572089","0.976052640982677","1.881787428",
"2/24/1979","-50","-1.40503001213074","4","23.775","21.559","73.33372548","0.818513068086413","0.980838597275621","1.654424892",
"2/25/1979","-50","-1.40503001213074","4","23.456","20.05","19.131661116","0.620799268977675","0.974902390438935","4.38991884",
"2/26/1979","-50","-1.40503001213074","4","27.24","20.3","0.3124241928","0.917294024752641","0.913125920465172","10.76850162",
"2/27/1979","-50","-1.40503001213074","4","28.014","21.241","9.535790844","0.710783937536545","0.941750063018446","20.740727412",
"2/28/1979","-50","-1.40503001213074","4","29.404","22.475","10.755448524","0.915942743565957","0.938158671414086","18.138434832",
"3/1/1979","-50","-1.40503001213074","4","28.728","22.717","15.497587044","1.03433422008594","0.951444965864939","13.102201548",
"3/2/1979","-50","-1.40503001213074","4","31.541","22.23","0.779342472","1.12693139760881","0.869353944520936","16.633410678",
"3/3/1979","-50","-1.40503001213074","4","27.839","22.524","10.079947656","1.29729767154247","0.936828526549577","24.394556448",
"3/4/1979","-50","-1.40503001213074","4","28.767","22.326","8.7101014824","1.12727389011966","0.93169221262446","20.89085544",
"3/5/1979","-50","-1.40503001213074","4","27.287","22.822","19.686130632","1.25674819030802","0.952994062208178","21.7671165",
"3/6/1979","-50","-1.40503001213074","4","30.502","22.406","8.926398144","1.16175198725753","0.894775074912558","24.15279375",
"3/7/1979","-50","-1.40503001213074","4","30.068","21.939","4.0615040304","1.10370932500238","0.915053010594794","17.99038395",
"3/8/1979","-50","-1.40503001213074","4","29.38","22.946","4.3636349664","1.05625940245421","0.917555104994707","18.79734753",
"3/9/1979","-50","-1.40503001213074","4","28.44","22.842","9.908293608","1.12610920439514","0.944765863648436","18.638496018",
"3/10/1979","-50","-1.40503001213074","4","29.469","23.126","6.373787832","1.26211552046258","0.924219761351931","20.92589523",
"3/11/1979","-50","-1.40503001213074","4","30.618","23.004","3.7559506968","1.24285621225371","0.909171721119312","16.117030782",
"3/12/1979","-50","-1.40503001213074","4","30.214","23.049","4.7721854664","1.34880138478697","0.909197775699058","20.091481488",
"3/13/1979","-50","-1.40503001213074","4","28.134","22.803","12.553596","1.22867068252991","0.948534427924741","17.45798049",
"3/14/1979","-50","-1.40503001213074","4","30.274","22.724","9.307482084","1.32259076477732","0.919775776297721","18.10265814",
"3/15/1979","-50","-1.40503001213074","4","27.334","22.97","9.829327824","1.04345902386582","0.952640537532234","18.008149248",
"3/16/1979","-50","-1.40503001213074","4","27.157","23.129","9.072299916","1.00460567327236","0.954329455135934","17.008874928",
"3/17/1979","-50","-1.40503001213074","4","26.73","23.427","8.006294268","0.757682178191876","0.963130852933319","9.70729263",
"3/18/1979","-50","-1.40503001213074","4","31.239","23.392","0.9286880904","1.34278808572351","0.856493574727779","19.481569398",
"3/19/1979","-50","-1.40503001213074","4","31.405","21.58","3.9138774624","1.61546454821278","0.867685236368226","27.661159512",
"3/20/1979","-50","-1.40503001213074","4","30.39","21.364","5.8965786792","1.28644280969049","0.897758245633006","26.358971328",
"3/21/1979","-50","-1.40503001213074","4","27.915","22.712","11.079024012","1.04439065860564","0.951082888912287","14.983531848",
"3/22/1979","-50","-1.40503001213074","4","29.238","23.406","12.74413788","1.26078212948473","0.940154665397306","17.435364318",
"3/23/1979","-50","-1.40503001213074","4","26.983","23.022","9.640500048","1.29581982772201","0.959284218321097","15.108978312",
"3/24/1979","-50","-1.40503001213074","4","28.605","22.525","3.7473714","1.06914037039953","0.928621820645284","17.82843876",
"3/25/1979","-50","-1.40503001213074","4","28.918","22.348","8.2878142608","1.11983714974985","0.932541005218236","21.2298795",
"3/26/1979","-50","-1.40503001213074","4","30.189","22.663","5.2940416104","1.01803559447678","0.915812079785334","21.13470324",
"3/27/1979","-50","-1.40503001213074","4","26.845","22.732","8.984755044","1.23602618930991","0.956366285216796","17.85133332",
"3/28/1979","-50","-1.40503001213074","4","26.794","23.1","21.588131196","1.37058098434587","0.95871066246905","17.625486672",
"3/29/1979","-50","-1.40503001213074","4","26.682","22.954","16.1825121","1.01061075896291","0.962454879156884","15.87701646",
"3/30/1979","-50","-1.40503001213074","4","28.273","22.888","8.480070612","1.16292238694757","0.942204708349886","19.73627514",
"3/31/1979","-50","-1.40503001213074","4","29.208","22.163","5.019381936","1.39067163481016","0.912977766060137","20.54098476",
"4/1/1979","-50","-1.40503001213074","4","29.987","21.79","8.5899377664","1.28920041746571","0.912263453643417","19.118365668",
"4/2/1979","-50","-1.40503001213074","4","31.344","22.075","2.3895289584","1.10393626732374","0.886881757340024","17.79564888",
"4/3/1979","-50","-1.40503001213074","4","30.883","21.771","2.13890112","1.44412643788336","0.872989697853045","25.483554",
"4/4/1979","-50","-1.40503001213074","4","28.24","22.084","6.324003468","1.11180597107858","0.925687341993015","20.89896354",
"4/5/1979","-50","-1.40503001213074","4","30.793","21.807","7.645799628","0.914340719368348","0.925967119214572","18.40538574",
"4/6/1979","-50","-1.40503001213074","4","32.026","22.411","4.162790124","0.848347565402497","0.910699832154065","16.64437824",
"4/7/1979","-50","-1.40503001213074","4","30.746","21.468","6.4956654","1.32264504367769","0.88158475566732","26.34885198",
"4/8/1979","-50","-1.40503001213074","4","29.955","22.015","3.4091973504","1.2753741564889","0.900414755910256","19.10007684",
"4/9/1979","-50","-1.40503001213074","4","30.802","22.24","3.4109124984","1.28926757664913","0.884230242739993","20.7725031",
"4/10/1979","-50","-1.40503001213074","4","30.329","21.862","3.3044855904","1.3088742708873","0.893450247360526","19.20167064",
"4/11/1979","-50","-1.40503001213074","4","32.086","20.997","1.534652604","1.32370711170012","0.839302582628662","26.92153098",
"4/12/1979","-50","-1.40503001213074","4","33.441","20.67","3.162002832","1.37673218508938","0.811577252662927","27.2333808",
"4/13/1979","-50","-1.40503001213074","4","29.842","22.308","4.765318236","1.09650314575649","0.916517079558897","18.98560512",
"4/14/1979","-50","-1.40503001213074","4","29.093","23.032","3.9104482104","1.2273821663693","0.916890129158921","15.57381708",
"4/15/1979","-50","-1.40503001213074","4","31.105","22.045","5.215068792","1.2242362303537","0.900787948203626","16.450767",
"4/16/1979","-50","-1.40503001213074","4","30.311","22.89","10.131455304","1.26873364044702","0.910828287434275","19.77125148",
"4/17/1979","-50","-1.40503001213074","4","26.868","23.348","9.712596168","0.97191918390108","0.961742821107044","10.67450256",
"4/18/1979","-50","-1.40503001213074","4","28.098","23.032","6.6227015664","0.89858270102109","0.942931569212538","15.63576408",
"4/19/1979","-50","-1.40503001213074","4","30.907","23.181","4.569627528","1.22035936821512","0.898221243782574","21.07642752",
