"Date","Longitude","Latitude","Elevation","Max Temperature","Min Temperature","Precipitation","Wind","Relative Humidity","Solar"
"1/1/1979","-37.5","-10.1473999023438","282","31.593","20.623","0.0171661464","4.27212341694056","0.632664576664988","13.05011358",
"1/2/1979","-37.5","-10.1473999023438","282","34.034","20.366","0","4.72384636242893","0.623424676616552","24.31912518",
"1/3/1979","-37.5","-10.1473999023438","282","33.043","19.682","0","4.36815400153107","0.640797714673292","21.19224366",
"1/4/1979","-37.5","-10.1473999023438","282","35.155","20.015","0","4.82143900433689","0.598933846803273","28.5134652",
"1/5/1979","-37.5","-10.1473999023438","282","37.006","19.574","0","4.44990094270443","0.586233526798745","28.77002838",
"1/6/1979","-37.5","-10.1473999023438","282","36.397","18.846","0","4.10153040425417","0.558131002255947","28.36068102",
"1/7/1979","-37.5","-10.1473999023438","282","37.323","19.535","0","4.25684813613492","0.531410055117248","28.2867138",
"1/8/1979","-37.5","-10.1473999023438","282","37.689","24.467","0.0137329056","4.26008112460015","0.433584711422943","21.6736911",
"1/9/1979","-37.5","-10.1473999023438","282","38.39","23.05","0.075530988","4.05813203861033","0.421053880337143","25.851939768",
"1/10/1979","-37.5","-10.1473999023438","282","36.779","22.082","0","4.07471841468365","0.50586342280027","22.12526448",
"1/11/1979","-37.5","-10.1473999023438","282","34.758","23.084","0.054931644","5.16451503984292","0.582811898430502","22.06085544",
"1/12/1979","-37.5","-10.1473999023438","282","35.128","20.42","0","4.781867611267","0.604228372339622","24.828642",
"1/13/1979","-37.5","-10.1473999023438","282","34.545","21.645","0.056648268","4.05617924943528","0.583761019552708","19.45985472",
"1/14/1979","-37.5","-10.1473999023438","282","32.316","23.288","3.2855985864","2.2792704034008","0.632398763649021","14.58208296",
"1/15/1979","-37.5","-10.1473999023438","282","33.101","21.477","1.9260423144","4.05585942492521","0.617845734490917","16.42263498",
"1/16/1979","-37.5","-10.1473999023438","282","35.14","21.501","0.140762484","4.57478953138735","0.58932843287793","24.272325",
"1/17/1979","-37.5","-10.1473999023438","282","35.061","20.869","0","4.32567464864163","0.608399993186379","19.9506393",
"1/18/1979","-37.5","-10.1473999023438","282","36.761","20.435","0","4.49209202236095","0.56353433501865","27.143045568",
"1/19/1979","-37.5","-10.1473999023438","282","34.53","20.046","0.0308990448","3.53936441914345","0.572023793085677","16.067985768",
"1/20/1979","-37.5","-10.1473999023438","282","35.595","20.478","0","4.58632072391604","0.609074691479252","24.3255969",
"1/21/1979","-37.5","-10.1473999023438","282","35.474","19.813","0","4.62742475392389","0.611756454330065","29.214714168",
"1/22/1979","-37.5","-10.1473999023438","282","37.136","20.207","0","4.00670303098644","0.606165155873211","29.15351712",
"1/23/1979","-37.5","-10.1473999023438","282","36.069","22.092","1.61018388","4.14592011003073","0.602660171532768","19.64806848",
"1/24/1979","-37.5","-10.1473999023438","282","35.421","22.322","0","5.12641942931395","0.609738982219138","22.899318768",
"1/25/1979","-37.5","-10.1473999023438","282","33.2","21.627","3.97653192","4.77336333374329","0.678544487426969","24.2747982",
"1/26/1979","-37.5","-10.1473999023438","282","34.494","20.238","0","4.77062208751515","0.623693913277457","28.905914088",
"1/27/1979","-37.5","-10.1473999023438","282","35.434","20.865","0.212860008","4.30491450343988","0.61906563433496","24.33098826",
"1/28/1979","-37.5","-10.1473999023438","282","35.399","23.976","0.14934546","4.64414561439607","0.570793827018253","17.0695053",
"1/29/1979","-37.5","-10.1473999023438","282","36.04","21.675","0","4.49465109284997","0.591883843101465","24.030794592",
"1/30/1979","-37.5","-10.1473999023438","282","36.373","21.866","0","4.01976711689405","0.557677338290005","24.2921259",
"1/31/1979","-37.5","-10.1473999023438","282","35.809","22.192","0","3.72878252751375","0.532122554248043","21.78522756",
