ID,NAME,LAT,LONG,ELEVATION
1,s-95-722,-9.523,-72.188,301.000
3,s-92-722,-9.211,-72.188,201.000
5,s-89-722,-8.899,-72.188,309.000
7,s-86-722,-8.586,-72.188,200.000
9,s-83-722,-8.274,-72.188,200.000
11,s-80-722,-7.962,-72.188,200.000
13,s-95-719,-9.523,-71.875,298.000
15,s-92-719,-9.211,-71.875,294.000
17,s-89-719,-8.899,-71.875,196.000
19,s-86-719,-8.586,-71.875,200.000
21,s-83-719,-8.274,-71.875,200.000
23,s-80-719,-7.962,-71.875,200.000
25,s-95-716,-9.523,-71.563,297.000
27,s-92-716,-9.211,-71.563,207.000
29,s-89-716,-8.899,-71.563,200.000
31,s-86-716,-8.586,-71.563,200.000
33,s-83-716,-8.274,-71.563,193.000
35,s-80-716,-7.962,-71.563,177.000
37,s-95-713,-9.523,-71.250,243.000
39,s-92-713,-9.211,-71.250,286.000
41,s-89-713,-8.899,-71.250,194.000
43,s-86-713,-8.586,-71.250,200.000
45,s-83-713,-8.274,-71.250,195.000
47,s-80-713,-7.962,-71.250,199.000
