"Date","Longitude","Latitude","Elevation","Max Temperature","Min Temperature","Precipitation","Wind","Relative Humidity","Solar"
"1/1/1979","-36.5625","-9.52297973632813","404","30.554","18.875","0","3.98569497231777","0.690652459505097","21.50003934",
"1/2/1979","-36.5625","-9.52297973632813","404","31.033","19.411","0.9595862928","3.66329872010008","0.707552062039713","27.89268858",
"1/3/1979","-36.5625","-9.52297973632813","404","31.333","19.116","0","3.6737309790307","0.696130100187969","28.03235832",
"1/4/1979","-36.5625","-9.52297973632813","404","32.027","18.82","0","3.97584221834969","0.676186446793427","28.51560072",
"1/5/1979","-36.5625","-9.52297973632813","404","34.305","17.764","0","3.55094882758005","0.633128845468028","28.9576026",
"1/6/1979","-36.5625","-9.52297973632813","404","34.274","18.03","0","3.78044019821071","0.584434485631868","28.75867002",
"1/7/1979","-36.5625","-9.52297973632813","404","33.954","18.861","0","4.06258354785292","0.579171512129416","27.60632172",
"1/8/1979","-36.5625","-9.52297973632813","404","34.326","20.406","0","4.25251314457977","0.543386707754312","24.746293368",
"1/9/1979","-36.5625","-9.52297973632813","404","35.091","21.925","0","4.47858543469332","0.496145371320593","24.275020248",
"1/10/1979","-36.5625","-9.52297973632813","404","34.146","19.691","0","3.72491632055106","0.557563183678136","26.39222316",
"1/11/1979","-36.5625","-9.52297973632813","404","32.401","20.03","0","3.82012253440207","0.665379296463306","23.92171344",
"1/12/1979","-36.5625","-9.52297973632813","404","32.296","18.625","0","3.51209212349979","0.684296059762109","28.3132674",
"1/13/1979","-36.5625","-9.52297973632813","404","33.17","19.579","0","3.50141009069612","0.663240670726215","21.17817792",
"1/14/1979","-36.5625","-9.52297973632813","404","34.247","21.381","6.65187858","2.69620956604158","0.686135290650861","18.271403172",
"1/15/1979","-36.5625","-9.52297973632813","404","31.003","20.697","0.0308990448","3.77578685396588","0.667046772505649","19.3465116",
"1/16/1979","-36.5625","-9.52297973632813","404","31.353","20.005","2.2367470392","3.66698581425296","0.695438791838373","27.8501022",
"1/17/1979","-36.5625","-9.52297973632813","404","30.023","19.688","0","3.65235634981071","0.716160652426471","25.8597576",
"1/18/1979","-36.5625","-9.52297973632813","404","33.556","18.935","0","3.87776139173109","0.623397476192353","29.0610108",
"1/19/1979","-36.5625","-9.52297973632813","404","34.047","19.716","0","3.90391551448112","0.597051271943055","28.21619268",
"1/20/1979","-36.5625","-9.52297973632813","404","32.846","19.076","0","3.74384573300787","0.653278401913136","28.55598462",
"1/21/1979","-36.5625","-9.52297973632813","404","32.81","18.047","0","3.48423285794218","0.638182811779426","29.496907728",
"1/22/1979","-36.5625","-9.52297973632813","404","34.043","18.707","0","3.190383671922","0.655580296458002","24.855698952",
"1/23/1979","-36.5625","-9.52297973632813","404","33.736","21.702","0","3.77267216463334","0.624744450093357","24.138841248",
"1/24/1979","-36.5625","-9.52297973632813","404","32.278","21.064","0","3.9998673249271","0.677787405816402","24.398889552",
"1/25/1979","-36.5625","-9.52297973632813","404","30.012","20.547","1.3423919328","3.74972497582582","0.727844256598409","26.163448128",
"1/26/1979","-36.5625","-9.52297973632813","404","31.904","19.197","0.0137329056","3.68705368074696","0.676395887696206","28.50389676",
"1/27/1979","-36.5625","-9.52297973632813","404","33.135","19.535","1.80931104","3.62958408153978","0.692114362000851","27.105074928",
"1/28/1979","-36.5625","-9.52297973632813","404","33.357","21.346","0","4.16241368981275","0.648441188167684","28.4141745",
"1/29/1979","-36.5625","-9.52297973632813","404","32.441","20.236","0","3.62979973409248","0.674138425040889","28.589453208",
"1/30/1979","-36.5625","-9.52297973632813","404","33.673","19.862","0","3.69301642736511","0.634594567635561","23.62600908",
"1/31/1979","-36.5625","-9.52297973632813","404","34.64","20.009","0","3.35942262944432","0.584460569927888","23.051475",
"2/1/1979","-36.5625","-9.52297973632813","404","33.538","21.467","0.0034332264","3.82859837611021","0.614419115293121","20.377572768",
"2/2/1979","-36.5625","-9.52297973632813","404","32.077","20.41","0","3.85040592556819","0.652641044147814","22.186405008",
"2/3/1979","-36.5625","-9.52297973632813","404","31.558","20.861","0.064373004","3.69338771526212","0.659182283810788","25.898505912",
"2/4/1979","-36.5625","-9.52297973632813","404","30.248","19.287","0","3.34083250308038","0.645972750888116","19.33317666",
"2/5/1979","-36.5625","-9.52297973632813","404","31.99","19.436","0.09698868","3.56428927167047","0.684073287509361","21.858526872",
"2/6/1979","-36.5625","-9.52297973632813","404","31.686","19.332","0","3.56637442864459","0.659687198763201","25.608373128",
"2/7/1979","-36.5625","-9.52297973632813","404","32.744","19.82","1.6119001728","3.42281690420066","0.664578430286333","22.069963152",
"2/8/1979","-36.5625","-9.52297973632813","404","32.308","20.703","0","3.66965791314377","0.615810098343273","24.726536208",
"2/9/1979","-36.5625","-9.52297973632813","404","33.02","20.21","0","3.78773276761981","0.587321123272458","25.662094272",
