"Date","Longitude","Latitude","Elevation","Max Temperature","Min Temperature","Precipitation","Wind","Relative Humidity","Solar"
"1/1/1979","-52.1875","-0.78057199716568","166","34.531","20.718","0","2.06808065945358","0.597027248791672","19.98297954",
"1/2/1979","-52.1875","-0.78057199716568","166","30.586","21.326","1.90200816","2.05297274906331","0.732146481818373","23.0131206",
"1/3/1979","-52.1875","-0.78057199716568","166","33.958","21.491","0.523567152","1.94090033994849","0.631149333755908","20.67012918",
"1/4/1979","-52.1875","-0.78057199716568","166","32.604","23.187","0.157928688","1.71761185928541","0.583956032272662","17.7185268",
"1/5/1979","-52.1875","-0.78057199716568","166","34.582","20.318","0.52871742","1.51799175470877","0.676536683555897","17.38524024",
"1/6/1979","-52.1875","-0.78057199716568","166","30.688","22.663","1.3406753448","2.02058902120282","0.781026168093936","16.9189848",
"1/7/1979","-52.1875","-0.78057199716568","166","31.057","20.878","3.20835024","2.05279453030472","0.760141662913745","25.4947464",
"1/8/1979","-52.1875","-0.78057199716568","166","33.603","21.125","0.166511412","2.22771174813797","0.658177412424208","20.2660344",
"1/9/1979","-52.1875","-0.78057199716568","166","32.924","21.861","0.55103328","2.51039756748166","0.656105347255492","24.42673512",
"1/10/1979","-52.1875","-0.78057199716568","166","31.879","20.743","4.81166784","2.03014177099494","0.775951911531926","23.09281974",
"1/11/1979","-52.1875","-0.78057199716568","166","34.148","21.934","0.017166132","2.37568745645291","0.665689809270813","26.55325926",
"1/12/1979","-52.1875","-0.78057199716568","166","33.079","22.121","3.7774079856","2.23984535226946","0.745208621215944","23.41288314",
"1/13/1979","-52.1875","-0.78057199716568","166","31.211","21.97","1.539802332","2.09792249209959","0.763660018102192","20.57394078",
"1/14/1979","-52.1875","-0.78057199716568","166","30.433","21.377","0.0240326064","2.3762456958418","0.736832123019326","22.14876726",
"1/15/1979","-52.1875","-0.78057199716568","166","30.551","22.391","0.424003788","2.35790903986249","0.730827197727883","11.6529183",
"1/16/1979","-52.1875","-0.78057199716568","166","33.156","23.058","0.0823974408","2.15956118141691","0.706479373874061","9.69789006",
"1/17/1979","-52.1875","-0.78057199716568","166","30.086","22.137","0.0617980896","2.52973143631324","0.663422552323691","20.8931607",
"1/18/1979","-52.1875","-0.78057199716568","166","32.238","21.398","0.333023328","1.96938929814887","0.678611755504507","19.09243332",
"1/19/1979","-52.1875","-0.78057199716568","166","31.674","21.782","1.5724182384","2.08125598842411","0.755805130952919","20.49277302",
"1/20/1979","-52.1875","-0.78057199716568","166","29.703","22.32","3.982544064","1.97532648345116","0.74368080468408","26.1866286",
"1/21/1979","-52.1875","-0.78057199716568","166","34.105","20.663","0.1673697024","1.66872774352055","0.74601685217137","16.85053026",
"1/22/1979","-52.1875","-0.78057199716568","166","34.437","21.529","0.2969741952","1.80448183684865","0.709563896951053","18.77321016",
"1/23/1979","-52.1875","-0.78057199716568","166","34.588","22.166","1.0025027784","1.75535910088635","0.705904829380654","18.13241106",
"1/24/1979","-52.1875","-0.78057199716568","166","33.92","22.223","0.90036432","2.1977492972893","0.704967129091395","22.07177172",
"1/25/1979","-52.1875","-0.78057199716568","166","29.904","22.073","7.354832328","1.52550564672973","0.866083791348449","25.143470208",
"1/26/1979","-52.1875","-0.78057199716568","166","32.628","21.708","0.5501749824","2.02142577517253","0.767479289411845","22.03020063",
"1/27/1979","-52.1875","-0.78057199716568","166","34.319","23.454","1.2411120384","2.44060109275441","0.719307675255915","22.93688961",
"1/28/1979","-52.1875","-0.78057199716568","166","29.521","22.174","4.940414964","1.9563296497517","0.832388104071762","23.63759694",
"1/29/1979","-52.1875","-0.78057199716568","166","30.379","22.243","2.376651456","1.58184771911148","0.848373245887298","19.1157219",
"1/30/1979","-52.1875","-0.78057199716568","166","30.251","21.577","2.600668728","1.64167451343623","0.870373813426953","22.34474964",
"1/31/1979","-52.1875","-0.78057199716568","166","28.071","22.03","3.992847732","1.86266794293167","0.881988625806932","16.06624038",
"2/1/1979","-52.1875","-0.78057199716568","166","28.305","21.986","1.7234809704","2.24846376317988","0.843764740773073","15.37002864",
"2/2/1979","-52.1875","-0.78057199716568","166","30.153","20.855","1.15699752","2.13704946394806","0.783568974736863","18.08741124",
"2/3/1979","-52.1875","-0.78057199716568","166","30.384","22.669","2.768898096","2.40035103764832","0.787134969111996","22.53824766",
"2/4/1979","-52.1875","-0.78057199716568","166","27.398","22.231","1.719188316","2.29051747640931","0.847404600959617","7.732408572",
"2/5/1979","-52.1875","-0.78057199716568","166","26.816","21.66","0.660038112","2.14627533565404","0.799826176893247","9.59000238",
"2/6/1979","-52.1875","-0.78057199716568","166","29.952","21.723","7.683563916","2.0966133890291","0.841904376435774","19.52651322",
"2/7/1979","-52.1875","-0.78057199716568","166","26.511","21.066","1.4900206104","1.74573470280449","0.883898984819573","8.90246619",
"2/8/1979","-52.1875","-0.78057199716568","166","30.37","21.403","1.0128025656","1.97566269224016","0.822487802502249","17.21705427",
"2/9/1979","-52.1875","-0.78057199716568","166","29.764","21.45","5.309487432","1.20051852995593","0.887452317202775","15.257363328",
"2/10/1979","-52.1875","-0.78057199716568","166","30.561","21.7","6.50081538","1.56515425797647","0.873039385606379","18.86029164",
"2/11/1979","-52.1875","-0.78057199716568","166","30.91","21.402","0.6711958872","1.65436555199573","0.78420276366509","19.331150292",
"2/12/1979","-52.1875","-0.78057199716568","166","29.567","22.058","1.169013816","1.80107024081263","0.750687980413112","18.58281462",
"2/13/1979","-52.1875","-0.78057199716568","166","30.013","20.509","4.0769607456","1.49438036679842","0.831057583311335","25.04025306",
"2/14/1979","-52.1875","-0.78057199716568","166","32.428","22.169","3.551677344","1.80795444276662","0.813102290426054","26.86983426",
"2/15/1979","-52.1875","-0.78057199716568","166","30.694","21.871","3.2409679104","1.76418147066375","0.822961960418305","23.3995482",
"2/16/1979","-52.1875","-0.78057199716568","166","32.714","22.609","1.3612746384","2.1427364153044","0.758848046986544","24.70528062",
"2/17/1979","-52.1875","-0.78057199716568","166","30.141","21.581","2.6933638968","1.72162665862482","0.847152683985933","18.082638882",
"2/18/1979","-52.1875","-0.78057199716568","166","30.02","21.68","6.5746310472","1.78024540406419","0.878673623062621","19.29167055",
"2/19/1979","-52.1875","-0.78057199716568","166","32.814","21.273","0.0137329128","2.07005811723854","0.745785590772046","26.7824295",
"2/20/1979","-52.1875","-0.78057199716568","166","31.743","22.583","9.346102848","1.77634856139926","0.843139666890697","23.95163277",
"2/21/1979","-52.1875","-0.78057199716568","166","28.849","22.14","9.4276399176","1.61245786352175","0.891521022025678","22.77090081",
"2/22/1979","-52.1875","-0.78057199716568","166","24.994","21.993","13.09003488","1.36018117292951","0.962858882541761","5.341218768",
"2/23/1979","-52.1875","-0.78057199716568","166","29.278","21.373","14.0178708","1.5095156434296","0.904065496951352","21.70248633",
"2/24/1979","-52.1875","-0.78057199716568","166","23.221","21.129","49.2479442","1.09847078302458","0.973664104607567","4.188599568",
"2/25/1979","-52.1875","-0.78057199716568","166","22.262","20.946","32.3289864","0.87316921774336","0.981607071416547","1.48201884",
"2/26/1979","-52.1875","-0.78057199716568","166","28.3","20.827","13.3269272568","0.862306334146368","0.943354284050086","17.48244564",
"2/27/1979","-52.1875","-0.78057199716568","166","27.657","21.982","10.13145228","0.921421198908953","0.943363143058252","23.940512568",
"2/28/1979","-52.1875","-0.78057199716568","166","30.273","22.011","6.5154105504","1.31238320992078","0.900451378425501","26.94099861",
"3/1/1979","-52.1875","-0.78057199716568","166","26.368","22.289","13.430785572","1.52713663025576","0.942291462975426","23.39544798",
