"Date","Longitude","Latitude","Elevation","Max Temperature","Min Temperature","Precipitation","Wind","Relative Humidity","Solar"
"1/1/1979","-59.0625","-4.52731990814209","90","31.941","22.865","0.8686067616","1.31928016309231","0.845904151225796","20.34455166",
"1/2/1979","-59.0625","-4.52731990814209","90","33.546","22.913","4.677774516","1.04651287604635","0.882095743308573","16.47298008",
"1/3/1979","-59.0625","-4.52731990814209","90","25.866","21.323","16.355886912","1.03705196310238","0.970151832758822","13.7853576",
"1/4/1979","-59.0625","-4.52731990814209","90","25.197","19.863","5.948067168","0.631614606918741","0.967697688226763","12.02219388",
"1/5/1979","-59.0625","-4.52731990814209","90","33.448","21.974","6.657892596","1.20535220277088","0.869521757531493","25.0843491",
"1/6/1979","-59.0625","-4.52731990814209","90","29.748","22.225","7.807160952","0.902973309878651","0.920395158050101","22.2022134",
"1/7/1979","-59.0625","-4.52731990814209","90","26.625","22.336","12.812802084","0.956569239086559","0.967072930325842","17.7420357",
"1/8/1979","-59.0625","-4.52731990814209","90","27.016","22.491","11.485863","0.72196790036047","0.965267395741811","17.2796112",
"1/9/1979","-59.0625","-4.52731990814209","90","26.431","22.418","14.55173496","1.06607625021103","0.968781640103205","19.005921",
"1/10/1979","-59.0625","-4.52731990814209","90","27.694","21.852","10.7099458128","0.835227517293006","0.950604856765669","22.09978224",
"1/11/1979","-59.0625","-4.52731990814209","90","25.781","20.142","9.378718344","0.995773198946323","0.96557498024246","13.8026781",
"1/12/1979","-59.0625","-4.52731990814209","90","28.951","20.336","3.3714294264","1.09266471864475","0.916816414516218","20.4537861",
"1/13/1979","-59.0625","-4.52731990814209","90","29.6","21.741","7.03296324","1.03270078237456","0.899638058113543","26.4643299",
"1/14/1979","-59.0625","-4.52731990814209","90","27.175","21.94","7.6835631528","1.09250422390067","0.952736914701747","19.84943736",
"1/15/1979","-59.0625","-4.52731990814209","90","27.562","21.751","4.0134443832","0.809692995529696","0.938595671798935","16.7293116",
"1/16/1979","-59.0625","-4.52731990814209","90","31.691","22.247","2.914811784","0.890593091760006","0.876904938656922","16.9236576",
"1/17/1979","-59.0625","-4.52731990814209","90","28.122","22.069","0.1579284864","0.797518754310886","0.870952723410373","10.650267",
"1/18/1979","-59.0625","-4.52731990814209","90","29.771","22.661","7.273297476","0.778748316247684","0.874923845612856","17.10045162",
"1/19/1979","-59.0625","-4.52731990814209","90","29.09","22.811","8.521267464","0.664281158209722","0.940473933295146","8.759586582",
"1/20/1979","-59.0625","-4.52731990814209","90","30.609","23.115","5.944634136","1.19181685049318","0.899838685374007","18.15305184",
"1/21/1979","-59.0625","-4.52731990814209","90","27.098","21.387","12.8874717","1.18686709030726","0.958572555808408","20.394276552",
"1/22/1979","-59.0625","-4.52731990814209","90","28.209","20.79","13.0600011528","0.900508331696874","0.945178555689199","23.25515616",
"1/23/1979","-59.0625","-4.52731990814209","90","30.661","23.287","4.3001186544","0.901874073485812","0.909876999454787","18.686811672",
"1/24/1979","-59.0625","-4.52731990814209","90","26.932","21.197","1.569843756","0.934935751891183","0.930477030127486","11.09362482",
"1/25/1979","-59.0625","-4.52731990814209","90","30.369","20.407","10.1288770488","1.11683208553064","0.925633456285292","23.05119042",
"1/26/1979","-59.0625","-4.52731990814209","90","28.698","22.955","8.674052508","0.833955948251889","0.9486930087544","17.795195352",
"1/27/1979","-59.0625","-4.52731990814209","90","27.826","23.356","9.008785764","1.01289818067389","0.919679352742269","6.924655008",
"1/28/1979","-59.0625","-4.52731990814209","90","27.091","22.196","72.348426072","1.0157167341724","0.947836138481406","7.035639228",
"1/29/1979","-59.0625","-4.52731990814209","90","28.614","22.362","2.179241352","0.968323752158082","0.917418678033782","17.44143516",
"1/30/1979","-59.0625","-4.52731990814209","90","27.268","22.023","15.854640444","0.88730341983718","0.958432926258523","20.82060288",
"1/31/1979","-59.0625","-4.52731990814209","90","28.038","22.755","8.3410212744","0.978020445755792","0.944099053273891","20.70895014",
"2/1/1979","-59.0625","-4.52731990814209","90","28.189","22.471","6.0047141688","1.02239469040659","0.943790882700045","17.77961376",
"2/2/1979","-59.0625","-4.52731990814209","90","28.543","22.142","3.6975835944","1.01299921852141","0.938656126996268","15.4245366",
"2/3/1979","-59.0625","-4.52731990814209","90","27.311","23.059","10.69107228","0.912179592324549","0.950131210779375","20.7813915",
"2/4/1979","-59.0625","-4.52731990814209","90","28.452","22.659","3.255559488","1.21342650484521","0.907481080999404","12.376126512",
"2/5/1979","-59.0625","-4.52731990814209","90","26.202","21.619","11.2343786928","1.03599112286867","0.951743779050542","17.99190036",
"2/6/1979","-59.0625","-4.52731990814209","90","27.963","22.862","6.846708816","1.07405171037604","0.930560082254243","23.18490126",
"2/7/1979","-59.0625","-4.52731990814209","90","28.645","22.836","1.6222005","1.25146340750125","0.908316751729006","13.728316752",
"2/8/1979","-59.0625","-4.52731990814209","90","28.178","21.652","3.7576667448","1.13225394537994","0.896584078129163","17.27510724",
"2/9/1979","-59.0625","-4.52731990814209","90","26.532","22.321","8.66117664","1.04772494825419","0.953539180946548","19.5379281",
"2/10/1979","-59.0625","-4.52731990814209","90","24.879","22.761","6.344605512","1.06394991416581","0.965064131878841","7.567543008",
"2/11/1979","-59.0625","-4.52731990814209","90","27.082","22.065","10.6618923864","1.15196298629408","0.943615846685566","21.586774752",
"2/12/1979","-59.0625","-4.52731990814209","90","26.426","22.025","6.1471887768","1.25088863348458","0.959297970436339","18.979478064",
"2/13/1979","-59.0625","-4.52731990814209","90","26.909","21.234","8.50839156","1.0972679007781","0.948061067974592","21.899982672",
"2/14/1979","-59.0625","-4.52731990814209","90","29.212","19.997","5.3309457288","0.843824129091128","0.923580429201976","22.5317835",
"2/15/1979","-59.0625","-4.52731990814209","90","29.37","20.326","1.5930173376","1.31543341289478","0.873843038524962","26.269931592",
"2/16/1979","-59.0625","-4.52731990814209","90","26.564","22.608","6.224448168","1.14434390533786","0.956226318104595","13.407637392",
"2/17/1979","-59.0625","-4.52731990814209","90","31.439","21.86","2.130318108","1.43094258899891","0.820138071325339","27.880312968",
"2/18/1979","-59.0625","-4.52731990814209","90","28.201","22.678","8.7839164944","0.993911757888436","0.93951936378406","18.99928116",
"2/19/1979","-59.0625","-4.52731990814209","90","29.166","22.385","2.5800700968","1.17074341200687","0.905174938947416","20.853335808",
"2/20/1979","-59.0625","-4.52731990814209","90","29.35","23.198","4.4674893864","1.2113015631536","0.893903336493135","19.8756603",
"2/21/1979","-59.0625","-4.52731990814209","90","27.3","22.51","11.59229232","0.882437706348123","0.94900712950398","19.24278372",
"2/22/1979","-59.0625","-4.52731990814209","90","28.587","22.88","6.596948412","1.2942468509864","0.924633968225564","19.326656808",
"2/23/1979","-59.0625","-4.52731990814209","90","27.638","22.026","3.498459012","1.13774871052943","0.938521658161406","15.3954585",
"2/24/1979","-59.0625","-4.52731990814209","90","29.405","22.395","6.59007774","1.20252129777766","0.912896840195479","22.14236646",
"2/25/1979","-59.0625","-4.52731990814209","90","26.423","21.677","1.639366128","1.02865330560388","0.946143312079152","7.6462335",
"2/26/1979","-59.0625","-4.52731990814209","90","27.384","21.601","7.3162103544","1.1154199050522","0.924207587996588","19.333069812",
"2/27/1979","-59.0625","-4.52731990814209","90","29.944","21.407","1.8642433824","0.944513793603609","0.914074598628852","16.18812432",
"2/28/1979","-59.0625","-4.52731990814209","90","31.126","21.384","4.18767714","1.04677944114252","0.910271021246706","20.705348232",
"3/1/1979","-59.0625","-4.52731990814209","90","30.683","22.107","10.40611068","1.08270743161727","0.907862474681181","27.9015192",
