"Date","Longitude","Latitude","Elevation","Max Temperature","Min Temperature","Precipitation","Wind","Relative Humidity","Solar"
"1/1/1979","-44.375","-12.0207996368408","700","29","18.358","2.203274124","2.4804609691027","0.754919126533915","29.8960335",
"1/2/1979","-44.375","-12.0207996368408","700","30.359","18.859","0.8068085208","1.74150259305496","0.760555814400517","21.47799042",
"1/3/1979","-44.375","-12.0207996368408","700","29.272","19.135","0","1.85266655325867","0.771091544811338","29.05762248",
"1/4/1979","-44.375","-12.0207996368408","700","29.233","19.462","0.243758988","1.93261026741695","0.771581513775684","30.14639028",
"1/5/1979","-44.375","-12.0207996368408","700","30.006","19.878","2.0985606288","1.79884063327433","0.7698913247072","29.87993988",
"1/6/1979","-44.375","-12.0207996368408","700","28.819","19.786","6.8578737984","1.75225789185573","0.853592672541644","24.98776362",
"1/7/1979","-44.375","-12.0207996368408","700","27.28","18.707","2.70710136","1.57875739836147","0.893022436855296","16.86690072",
"1/8/1979","-44.375","-12.0207996368408","700","26.065","18.883","8.7375682944","1.10224012351659","0.928342926981165","13.70677212",
"1/9/1979","-44.375","-12.0207996368408","700","24.066","19.072","28.6004825064","1.50362937277591","0.954702300521417","6.29470917",
"1/10/1979","-44.375","-12.0207996368408","700","24.943","19.686","3.8486492136","1.27592117526796","0.934874710432103","14.48983008",
"1/11/1979","-44.375","-12.0207996368408","700","26.924","19.805","4.59194328","1.11275633034107","0.916640219713294","23.43954582",
"1/12/1979","-44.375","-12.0207996368408","700","26.415","20.242","3.464126712","1.58668231494476","0.874523542586743","25.92945288",
"1/13/1979","-44.375","-12.0207996368408","700","29.638","18.706","3.5001777168","1.2671882167293","0.897176328486126","21.64708332",
"1/14/1979","-44.375","-12.0207996368408","700","25.313","19.98","31.50501588","1.85557258807112","0.947231639690166","9.25104294",
"1/15/1979","-44.375","-12.0207996368408","700","21.654","19.384","79.22852892","1.47787860946839","0.973572751985326","2.51010018",
"1/16/1979","-44.375","-12.0207996368408","700","22.084","19.225","5.432224716","1.97439410564042","0.964931925910232","6.69903516",
"1/17/1979","-44.375","-12.0207996368408","700","21.736","19.758","7.118793648","1.22031838866938","0.962263252419316","6.90383952",
"1/18/1979","-44.375","-12.0207996368408","700","24.792","19.062","9.894560472","1.21831015138007","0.937964152040675","14.798421",
"1/19/1979","-44.375","-12.0207996368408","700","23.016","19.876","10.64643732","1.44393138059029","0.963775485556913","6.92094258",
"1/20/1979","-44.375","-12.0207996368408","700","27.335","17.619","2.005004484","1.43008991876065","0.877218725072947","21.91545054",
"1/21/1979","-44.375","-12.0207996368408","700","29.316","18.82","0","1.816858807179","0.79248673866332","26.7837192",
"1/22/1979","-44.375","-12.0207996368408","700","30.165","18.143","0.065231316","1.42144080965989","0.761384249922814","30.436308",
"1/23/1979","-44.375","-12.0207996368408","700","28.756","19.129","0.327873168","2.05413505031994","0.789402449769831","30.0630384",
"1/24/1979","-44.375","-12.0207996368408","700","28.591","19.413","4.0469148504","2.19581710451875","0.825997296199414","29.20646304",
"1/25/1979","-44.375","-12.0207996368408","700","28.607","19.247","6.1059936528","1.98386688523111","0.850703744894423","29.1875004",
"1/26/1979","-44.375","-12.0207996368408","700","27.236","18.728","6.9102299664","1.46295390917849","0.885847455009543","25.08412716",
"1/27/1979","-44.375","-12.0207996368408","700","27.244","19.568","1.4522550984","1.8984390951346","0.849314326569961","23.64659352",
"1/28/1979","-44.375","-12.0207996368408","700","27.875","20.029","8.474919048","1.4749902876336","0.881210856344561","25.47568728",
"1/29/1979","-44.375","-12.0207996368408","700","26.138","20.712","20.37963924","1.34721087974544","0.930902860445952","23.38655526",
"1/30/1979","-44.375","-12.0207996368408","700","26.696","20.956","9.83276352","1.22980188959969","0.918732425436377","17.865561348",
"1/31/1979","-44.375","-12.0207996368408","700","22.428","19.84","25.364692836","1.54243776965411","0.952309483181906","6.135694452",
"2/1/1979","-44.375","-12.0207996368408","700","25.457","18.498","5.6459478528","1.15792141434961","0.92086557438794","15.16269348",
"2/2/1979","-44.375","-12.0207996368408","700","24.653","20.304","34.15202532","1.58250623932287","0.95705458231574","13.16812266",
"2/3/1979","-44.375","-12.0207996368408","700","24.521","19.612","30.28878468","1.42359602178745","0.949840040833099","9.35324604",
"2/4/1979","-44.375","-12.0207996368408","700","23.635","19.503","6.80208012","1.53329906104578","0.95075958179445","14.644575648",
"2/5/1979","-44.375","-12.0207996368408","700","25.002","18.606","4.2357439224","1.45296448331122","0.907201750436549","23.02014006",
"2/6/1979","-44.375","-12.0207996368408","700","24.466","18.955","11.77167672","1.15801178136229","0.953650340712294","16.448791752",
"2/7/1979","-44.375","-12.0207996368408","700","26.551","18.13","1.00250298","1.13945477303826","0.909001760377942","12.85818768",
"2/8/1979","-44.375","-12.0207996368408","700","25.936","19.564","1.541518704","1.36026358279069","0.879165683551806","17.313241248",
"2/9/1979","-44.375","-12.0207996368408","700","25.369","19.894","7.11879732","1.34036614097586","0.931523596083045","13.736475",
"2/10/1979","-44.375","-12.0207996368408","700","27.076","18.785","2.837562516","2.08397587053294","0.851911790672289","29.38432824",
"2/11/1979","-44.375","-12.0207996368408","700","29.332","17.867","0.57678228","2.09264018904183","0.786687496308542","30.08266596",
"2/12/1979","-44.375","-12.0207996368408","700","27.507","18.964","0.717544728","1.80521542844485","0.777928508177012","23.777824968",
"2/13/1979","-44.375","-12.0207996368408","700","26.676","18.479","2.54831256","1.64833310626902","0.877715186685066","15.06516066",
"2/14/1979","-44.375","-12.0207996368408","700","25.986","19.918","7.59858516","1.88991458409568","0.886101880007063","19.31287824",
"2/15/1979","-44.375","-12.0207996368408","700","26.458","17.82","13.39130664","1.03711777784624","0.942597548425247","15.64407252",
"2/16/1979","-44.375","-12.0207996368408","700","26.269","19.772","9.9563618304","1.24122247245503","0.92412844448526","19.26320778",
"2/17/1979","-44.375","-12.0207996368408","700","25.983","19.408","20.781320472","1.14186030537959","0.918136241078114","23.070992832",
"2/18/1979","-44.375","-12.0207996368408","700","27.747","18.598","14.0298843888","1.32371031254259","0.905904077948487","27.728203032",
"2/19/1979","-44.375","-12.0207996368408","700","26.804","19.791","6.89049054","1.71166664604492","0.898759282415676","18.6864705",
"2/20/1979","-44.375","-12.0207996368408","700","25.065","19.736","11.37342312","1.27092712388849","0.941832302461645","22.687080768",
"2/21/1979","-44.375","-12.0207996368408","700","26.314","18.8","7.868960316","1.0423830447866","0.932204425066244","25.22767176",
"2/22/1979","-44.375","-12.0207996368408","700","26.506","20.358","4.288099392","1.66930778186963","0.858110403392886","14.328901728",
"2/23/1979","-44.375","-12.0207996368408","700","27.178","17.893","1.191332628","2.71737753103434","0.784754286053215","24.86570724",
"2/24/1979","-44.375","-12.0207996368408","700","23.76","17.664","2.547453096","2.8428007882909","0.882526340327544","20.405592",
"2/25/1979","-44.375","-12.0207996368408","700","23.546","18.426","0.132179292","2.40889212831594","0.846030707437419","14.46738336",
"2/26/1979","-44.375","-12.0207996368408","700","26.282","18.763","0.5029680096","2.29129372370994","0.805888564887756","23.66104806",
"2/27/1979","-44.375","-12.0207996368408","700","25.708","18.183","1.107216144","2.12881599380372","0.856494303578765","20.80080108",
"2/28/1979","-44.375","-12.0207996368408","700","25.261","19.592","1.0025026992","2.65669592783724","0.811178354041617","22.304476152",
"3/1/1979","-44.375","-12.0207996368408","700","27.979","17.313","0.202560624","2.49199667983648","0.780266115128081","29.16264708",
"3/2/1979","-44.375","-12.0207996368408","700","28.301","18.289","0","2.37991526568238","0.702930905832893","29.32149096",
"3/3/1979","-44.375","-12.0207996368408","700","28.448","18.939","0","2.18529549274764","0.72527820812806","19.275580728",
"3/4/1979","-44.375","-12.0207996368408","700","28.397","18.604","0.04119876","2.54969867493917","0.692437508311557","29.0849652",
"3/5/1979","-44.375","-12.0207996368408","700","26.928","18.252","0.0549316656","2.46864011194492","0.76595758137896","22.6747116",
"3/6/1979","-44.375","-12.0207996368408","700","26.627","17.208","2.5714900512","1.57468853393019","0.873445262226345","20.52500112",
"3/7/1979","-44.375","-12.0207996368408","700","26.546","18.044","4.08382668","1.63710550595622","0.885200837780809","28.23131736",
"3/8/1979","-44.375","-12.0207996368408","700","28.2","18.896","3.888132408","1.87626552836393","0.849133435443999","28.12421628",
"3/9/1979","-44.375","-12.0207996368408","700","27.199","20.03","5.388447816","1.90030397013523","0.892265101684456","25.743989088",
"3/10/1979","-44.375","-12.0207996368408","700","26.274","19.488","9.362409948","1.93892902314878","0.893175727616688","27.489888072",
"3/11/1979","-44.375","-12.0207996368408","700","27.959","18.787","1.5964519824","2.15083609662408","0.824771226436145","28.03106088",
"3/12/1979","-44.375","-12.0207996368408","700","28.933","19.099","0.04119876","1.70527169271338","0.765863829492293","19.2586014",
"3/13/1979","-44.375","-12.0207996368408","700","29.437","19.363","5.407330572","1.10286749245543","0.844302983901998","15.524377812",
"3/14/1979","-44.375","-12.0207996368408","700","28.534","18.682","4.8442794984","1.30245893267907","0.826066857978271","22.98060036",
"3/15/1979","-44.375","-12.0207996368408","700","30.414","17.245","2.65388364","0.847581086754955","0.812014345009854","26.7321276",
"3/16/1979","-44.375","-12.0207996368408","700","26.45","18.632","9.686851668","0.962656605754707","0.907514967225175","26.885084832",
"3/17/1979","-44.375","-12.0207996368408","700","29.525","18.065","7.350540012","0.957912619034328","0.853650005634579","27.2499246",
"3/18/1979","-44.375","-12.0207996368408","700","29.045","17.878","4.1919696","1.75142505703583","0.799176057736805","27.06154056",
"3/19/1979","-44.375","-12.0207996368408","700","29.597","18.279","0","2.08194582080358","0.746618518171789","28.0656",
"3/20/1979","-44.375","-12.0207996368408","700","29.11","20.17","0.089263908","2.47896853757401","0.678618320183002","27.87097248",
"3/21/1979","-44.375","-12.0207996368408","700","29.474","19.273","0.01373292","2.67418754302803","0.706894326264104","27.64130436",
"3/22/1979","-44.375","-12.0207996368408","700","28.744","19.804","0.669479076","2.50306355789774","0.767756707360645","26.87174802",
"3/23/1979","-44.375","-12.0207996368408","700","29.41","18.398","0","1.99964974745423","0.766444402314675","27.36483984",
"3/24/1979","-44.375","-12.0207996368408","700","30.328","18.087","0","1.50529104031245","0.741991220307911","27.17926272",
"3/25/1979","-44.375","-12.0207996368408","700","29.696","20.234","0.0171661392","1.45952279765779","0.731481964096469","26.19275922",
"3/26/1979","-44.375","-12.0207996368408","700","26.109","21.221","0.48751812","1.53330427275877","0.817380969446842","9.774956808",
"3/27/1979","-44.375","-12.0207996368408","700","27.592","20.943","5.517198936","1.38253191636439","0.893804513102234","11.1743433",
"3/28/1979","-44.375","-12.0207996368408","700","24.625","20.682","35.05326408","1.39091823303499","0.943092029033341","6.699712212",
"3/29/1979","-44.375","-12.0207996368408","700","24.618","19.248","14.330295","2.22966453274967","0.944386285940705","6.879322548",
"3/30/1979","-44.375","-12.0207996368408","700","25.066","19.233","9.86023404","0.663553657519004","0.946601231591292","13.1578335",
"3/31/1979","-44.375","-12.0207996368408","700","27.347","19.113","10.13145156","0.903360497653825","0.921125403900165","17.386256592",
"4/1/1979","-44.375","-12.0207996368408","700","23.863","18.969","36.05920434","1.38948858069205","0.954804833829321","6.67518552",
"4/2/1979","-44.375","-12.0207996368408","700","26.653","19.978","3.920746104","1.86696631755993","0.897948215394497","23.82002388",
"4/3/1979","-44.375","-12.0207996368408","700","28.274","18.711","0.278091396","2.08711129322465","0.807094438402247","26.313354",
"4/4/1979","-44.375","-12.0207996368408","700","29.42","19.307","0.17509464","2.0853249683678","0.745627261991577","26.4511692",
"4/5/1979","-44.375","-12.0207996368408","700","30.012","18.839","0.205993944","1.71384062741847","0.739250679288059","26.37225144",
"4/6/1979","-44.375","-12.0207996368408","700","29.856","18.893","0","1.42805613193356","0.767519969960466","24.6918366",
"4/7/1979","-44.375","-12.0207996368408","700","29.054","18.644","1.77154452","1.40861155173739","0.821792379477087","18.13843044",
"4/8/1979","-44.375","-12.0207996368408","700","24.383","17.974","9.55809918","1.12525993667393","0.93197932902519","4.3578018",
"4/9/1979","-44.375","-12.0207996368408","700","24.568","20.387","11.3811516288","1.44413637818767","0.913660196443265","4.89555486",
"4/10/1979","-44.375","-12.0207996368408","700","28.359","19.466","1.819610496","1.89858586274336","0.839540377833782","25.3589688",
"4/11/1979","-44.375","-12.0207996368408","700","27.297","18.549","2.7843464592","2.09014453607281","0.866065764571319","25.04396286",
"4/12/1979","-44.375","-12.0207996368408","700","28.626","18.664","0.0102996864","2.34781811969233","0.744145203890732","25.4377692",
"4/13/1979","-44.375","-12.0207996368408","700","28.275","20.424","0.0343322856","2.78141797688835","0.659326631866612","25.42505832",
"4/14/1979","-44.375","-12.0207996368408","700","27.303","18.299","0.242042616","3.52567827452308","0.670656566881409","25.55178732",
"4/15/1979","-44.375","-12.0207996368408","700","25.561","17.978","0","3.28703839953166","0.733744374660059","25.24292352",
"4/16/1979","-44.375","-12.0207996368408","700","27.113","17.863","0","2.96698580807499","0.742774842661509","25.29961992",
"4/17/1979","-44.375","-12.0207996368408","700","27.536","18.884","0","2.35498215408971","0.758227139745809","25.2470304",
"4/18/1979","-44.375","-12.0207996368408","700","28.989","19.547","0","1.95004147937171","0.694942390480441","25.0827705",
"4/19/1979","-44.375","-12.0207996368408","700","28.959","18.545","0","1.36807382844851","0.758946204902239","18.75937536",
"4/20/1979","-44.375","-12.0207996368408","700","26.149","18.356","0","1.74768920397194","0.780145990056084","23.26494348",
"4/21/1979","-44.375","-12.0207996368408","700","27.185","17.029","0","1.3329157814535","0.811362235060256","20.39321808",
"4/22/1979","-44.375","-12.0207996368408","700","28.61","17.153","0.635146704","1.53525480008568","0.800246403980484","23.95867932",
"4/23/1979","-44.375","-12.0207996368408","700","26.469","19.56","11.11677966","1.25353525436988","0.897372456575875","21.75637662",
"4/24/1979","-44.375","-12.0207996368408","700","27.246","20.315","4.840849512","1.64144046331525","0.887963717922725","12.57186618",
"4/25/1979","-44.375","-12.0207996368408","700","26.505","17.672","0.123596208","2.60257759997218","0.765307371802468","23.39887068",
"4/26/1979","-44.375","-12.0207996368408","700","26.36","17.882","1.3561276824","1.75596838746181","0.843535410114214","17.96197248",
"4/27/1979","-44.375","-12.0207996368408","700","25.451","19.088","4.116440304","1.98224321826061","0.895742620745583","8.79817626",
"4/28/1979","-44.375","-12.0207996368408","700","23.962","17.482","3.477863052","1.82143320656178","0.896756426838215","14.02458642",
"4/29/1979","-44.375","-12.0207996368408","700","26.937","16.525","0","2.07655646667221","0.80531609130129","22.5824652",
"4/30/1979","-44.375","-12.0207996368408","700","27.797","18.783","0.0171661392","1.59542177340119","0.756708983316907","22.25345688",
"5/1/1979","-44.375","-12.0207996368408","700","28.605","17.323","0","1.28911417828821","0.781061688336032","23.13759762",
"5/2/1979","-44.375","-12.0207996368408","700","28.478","18.899","1.4797215","1.47626199177352","0.773621166847562","22.81326012",
