,Date,Elevation,Latitude,Longitude,Max Temperature,Min Temperature,Precipitation,Relative Humidity,Solar,Wind
1/6/1998,-39.375,36.019,373.0,-11.396400451660199,20.989,0.0,3.9451223603617103,21.75277572,,0.49439760819483797
2/5/1998,-39.375,36.958,373.0,-11.396400451660199,21.410999999999998,0.0,3.9557918050589707,23.193673632,,0.520035888826295
3/7/1998,-39.375,32.12,373.0,-11.396400451660199,19.959,0.0,4.17975809815266,23.29154937,,0.57932843450515
4/6/1998,-39.375,33.885999999999996,373.0,-11.396400451660199,20.123,0.02059938,4.13264571052862,21.64386924,,0.672586595176727
5/6/1998,-39.375,34.389,373.0,-11.396400451660199,18.237000000000002,0.0,2.69372282439911,17.99994762,,0.6105339697776899
6/5/1998,-39.375,24.287,373.0,-11.396400451660199,18.592,3.0555725183999995,3.5002778418607097,6.15830958,,0.864431240836027
7/5/1998,-39.375,28.156999999999996,373.0,-11.396400451660199,15.946,0.0,3.62470122588238,20.48895648,,0.753929585160048
8/4/1998,-39.375,28.863000000000003,373.0,-11.396400451660199,16.347,0.175094676,4.1271803552658,20.45092788,,0.7580788850663119
9/3/1998,-39.375,29.969,373.0,-11.396400451660199,17.912,0.0343322856,4.53273176256575,25.23825072,,0.6672787328504399
10/3/1998,-39.375,33.79,373.0,-11.396400451660199,17.955,0.0,4.28663612628748,21.54048444,,0.577087599782548
11/2/1998,-39.375,35.489000000000004,373.0,-11.396400451660199,22.625999999999998,0.19912716,3.8050227132924803,22.62476358,,0.548669868891291
12/2/1998,-39.375,32.065,373.0,-11.396400451660199,23.263,4.070090916,2.5844174618688998,17.03272536,,0.6979054902208262
1/1/1999,-39.375,33.359,373.0,-11.396400451660199,19.819000000000003,0.061798096799999994,3.8892770141954904,20.54300652,,0.553918631189326
1/31/1999,-39.375,35.063,373.0,-11.396400451660199,19.154,0.0,3.96020497506747,23.691491711999998,,0.556853757893311
3/2/1999,-39.375,36.793,373.0,-11.396400451660199,20.97,0.0,3.69907231250993,22.4292384,,0.545765254705908
4/1/1999,-39.375,32.16,373.0,-11.396400451660199,19.02,0.23689259999999998,3.9948321505984103,16.7463567,,0.702153277353587
5/1/1999,-39.375,32.124,373.0,-11.396400451660199,19.659000000000002,0.2231602704,3.2537977279055696,18.30639762,,0.733152163334495
5/31/1999,-39.375,31.684,373.0,-11.396400451660199,16.101,0.0,2.29381909495392,20.93995872,,0.626675456696449
6/30/1999,-39.375,30.331,373.0,-11.396400451660199,15.845999999999998,0.0,2.65357765813406,19.28519928,,0.7169281102769771
7/30/1999,-39.375,27.893,373.0,-11.396400451660199,15.293,0.0343322784,2.99525143291753,16.27610886,,0.785610089496803
8/29/1999,-39.375,27.049,373.0,-11.396400451660199,14.702,0.0308990664,3.2518648582226004,19.84792896,,0.7347836382346641
9/28/1999,-39.375,28.623,373.0,-11.396400451660199,19.109,1.28746044,3.4936034443896,10.553564628,,0.775569820750197
10/28/1999,-39.375,29.5,373.0,-11.396400451660199,20.961,1.84536,3.2531137154351604,19.75342752,,0.7413164087732249
11/27/1999,-39.375,31.906,373.0,-11.396400451660199,20.236,0.0,2.9270667902817102,18.07593498,,0.6092878152966259
12/27/1999,-39.375,29.265,373.0,-11.396400451660199,19.805,1.1192320584,3.22946492234723,19.58754168,,0.768619063991884
1/26/2000,-39.375,34.125,373.0,-11.396400451660199,19.602999999999998,0.0,2.8126471062144303,23.993496,,0.6374554039418481
2/25/2000,-39.375,29.81,373.0,-11.396400451660199,21.854,3.9447821160000003,2.69508350806804,22.625776908000002,,0.8189548682387421
3/26/2000,-39.375,31.381,373.0,-11.396400451660199,19.599,0.0755310456,3.4720317030708396,18.01169982,,0.69797949103942
4/25/2000,-39.375,24.521,373.0,-11.396400451660199,19.595,4.02717528,3.5242061975220493,6.60015036,,0.894492983419319
5/25/2000,-39.375,23.886999999999997,373.0,-11.396400451660199,19.663,1.82647728,3.31932331639975,6.99851502,,0.914455443136448
6/24/2000,-39.375,20.84,373.0,-11.396400451660199,19.141,7.467273324,4.34095199321243,2.81885634,,0.9351637929288872
7/24/2000,-39.375,29.548000000000002,373.0,-11.396400451660199,17.264,0.0308990592,2.04059040943034,21.34440738,,0.7327842905085319
8/23/2000,-39.375,25.733,373.0,-11.396400451660199,18.385,0.2737998,2.7357586882543097,11.30433804,,0.8217128544187149
9/22/2000,-39.375,28.813000000000002,373.0,-11.396400451660199,17.172,0.192260844,3.32484666000544,24.00097239,,0.7602202296980021
10/22/2000,-39.375,35.742,373.0,-11.396400451660199,19.19,0.0,3.63360529575081,23.09310144,,0.538842488065699
11/21/2000,-39.375,33.515,373.0,-11.396400451660199,19.933,0.0,3.81587323568358,21.43512792,,0.6077160868447471
12/21/2000,-39.375,33.522,373.0,-11.396400451660199,21.89,0.0,2.6763770824067,29.013860700000002,,0.5520642189685789
1/20/2001,-39.375,34.958,373.0,-11.396400451660199,17.904,0.0,3.35077039535795,25.38022914,,0.598571894126385
2/19/2001,-39.375,33.955,373.0,-11.396400451660199,21.171999999999997,0.2214433152,3.3056716302749902,18.48757473,,0.6307354469903069
3/21/2001,-39.375,25.875999999999998,373.0,-11.396400451660199,20.938000000000002,2.7105300504,3.1266211496764904,7.22312262,,0.818830121925845
4/20/2001,-39.375,32.756,373.0,-11.396400451660199,20.109,0.078964236,2.5999034855099903,20.75152698,,0.704917416590658
5/20/2001,-39.375,30.389,373.0,-11.396400451660199,21.076,2.23502976,4.69225459337469,14.4294786,,0.666646075794676
6/19/2001,-39.375,28.19,373.0,-11.396400451660199,16.636,0.0394821144,3.61020066407857,17.90482392,,0.7696440259005161
7/19/2001,-39.375,27.791,373.0,-11.396400451660199,18.317,2.5440225119999997,3.65555533418116,14.2336089,,0.8149113159617659
8/18/2001,-39.375,25.53,373.0,-11.396400451660199,17.252,1.1415488904,3.29697582540098,14.25880746,,0.849969068565132
9/17/2001,-39.375,36.3,373.0,-11.396400451660199,19.430999999999997,0.0240326064,3.01960610357296,26.019336600000003,,0.5707129216330601
10/17/2001,-39.375,28.726999999999997,373.0,-11.396400451660199,20.386,1.1449813824,3.6605193070526805,15.20758224,,0.821726845173301
11/16/2001,-39.375,37.144,373.0,-11.396400451660199,20.302,0.0,4.12315666422776,27.69861888,,0.499670611230695
12/16/2001,-39.375,35.467,373.0,-11.396400451660199,20.65,0.0,4.95063184027619,24.83797248,,0.58175025873261
1/15/2002,-39.375,28.791999999999998,373.0,-11.396400451660199,21.179000000000002,20.484350748,2.37301243489686,14.6127375,,0.8189117498606941
2/14/2002,-39.375,32.961999999999996,373.0,-11.396400451660199,19.342,0.092697156,2.93679329076477,22.55619042,,0.688846728547716
3/16/2002,-39.375,35.219,373.0,-11.396400451660199,18.84,0.0,3.13533277073015,26.51456376,,0.575993199222996
4/15/2002,-39.375,29.551,373.0,-11.396400451660199,19.142,2.1080007864,3.15245810709456,13.99499928,,0.781145510227505
5/15/2002,-39.375,28.706999999999997,373.0,-11.396400451660199,19.847,0.16822813679999998,2.99928526210087,12.82370886,,0.792751591871602
6/14/2002,-39.375,24.6,373.0,-11.396400451660199,19.289,5.640793416,3.7217980694464905,9.39436938,,0.896078384018018
7/14/2002,-39.375,31.104,373.0,-11.396400451660199,16.243,0.048065184000000004,2.47489161847794,20.83387392,,0.7259081297693292
8/13/2002,-39.375,30.643,373.0,-11.396400451660199,19.226,0.21972654,3.2070720944129105,20.74308498,,0.743015116640855
9/12/2002,-39.375,27.629,373.0,-11.396400451660199,17.083,0.0617981184,3.17646039874246,18.80409636,,0.74917793375065
10/12/2002,-39.375,33.711999999999996,373.0,-11.396400451660199,17.764,0.0,4.3491468698458,28.048637699999997,,0.602996729236856
11/11/2002,-39.375,33.077,373.0,-11.396400451660199,19.099,0.82054116,3.6349297669890897,21.73635,,0.5940766093294859
12/11/2002,-39.375,35.866,373.0,-11.396400451660199,20.151,0.0,3.26220555172561,22.20333876,,0.581441824921479
1/10/2003,-39.375,35.933,373.0,-11.396400451660199,19.256,0.0,3.7622075200617098,27.80161722,,0.5499069297610321
2/9/2003,-39.375,35.302,373.0,-11.396400451660199,18.467,0.0,3.8402132445280404,28.53813132,,0.6212126874409379
3/11/2003,-39.375,35.44,373.0,-11.396400451660199,21.088,0.068664564,3.9353147455589106,20.29403844,,0.624133604075405
4/10/2003,-39.375,36.303000000000004,373.0,-11.396400451660199,19.273,0.0,3.2079829776991002,25.79669748,,0.532317492030888
5/10/2003,-39.375,31.22,373.0,-11.396400451660199,19.0,0.438594912,3.90516579824297,19.58209182,,0.759206616589475
6/9/2003,-39.375,28.541,373.0,-11.396400451660199,19.539,4.9850523,4.14549947835404,17.02023894,,0.761773740867298
7/9/2003,-39.375,27.35,373.0,-11.396400451660199,15.972999999999999,0.0,2.9038909018888397,16.76964492,,0.748721110721527
8/8/2003,-39.375,28.544,373.0,-11.396400451660199,16.775,0.15449522400000001,3.3002886494154304,19.8710469,,0.7668322623549041
9/7/2003,-39.375,23.029,373.0,-11.396400451660199,17.679000000000002,3.075312996,4.24985362954754,6.84978885,,0.87742726865701
10/7/2003,-39.375,34.538000000000004,373.0,-11.396400451660199,17.000999999999998,0.0,4.34643021466137,28.17640242,,0.5420594352650511
11/6/2003,-39.375,24.745,373.0,-11.396400451660199,20.541,2.17666548,3.93379734235973,6.54502392,,0.8395323603588108
12/6/2003,-39.375,36.195,373.0,-11.396400451660199,21.372,0.0102996792,2.51206007334229,17.140671899999997,,0.544943012730999
1/5/2004,-39.375,36.53,373.0,-11.396400451660199,19.47,0.0,4.20721102018005,24.76270314,,0.549994834687907
2/4/2004,-39.375,29.605999999999998,373.0,-11.396400451660199,20.098,1.8402102143999999,3.0771340630361004,19.55222019,,0.7990225295137728
3/5/2004,-39.375,33.262,373.0,-11.396400451660199,20.029,0.168228252,4.06662877626279,26.4791205,,0.673513431942129
4/4/2004,-39.375,33.921,373.0,-11.396400451660199,19.402,0.0,3.44886164432832,21.78428076,,0.633280614993686
5/4/2004,-39.375,25.268,373.0,-11.396400451660199,20.599,2.7568828728,3.3172839827985903,11.77058934,,0.8736286007542591
6/3/2004,-39.375,29.419,373.0,-11.396400451660199,19.692,0.0617981112,2.71616905088435,15.2155143,,0.7660980692241
7/3/2004,-39.375,28.307,373.0,-11.396400451660199,16.718,0.092697156,3.39457091107545,16.7952951,,0.7686999412722629
8/2/2004,-39.375,24.573,373.0,-11.396400451660199,16.714000000000002,1.1003495615999999,2.63034238511748,10.78864002,,0.8494082251671341
9/1/2004,-39.375,30.644000000000002,373.0,-11.396400451660199,17.078,0.0,4.49879359758369,22.8893616,,0.645267283300564
10/1/2004,-39.375,31.660999999999998,373.0,-11.396400451660199,19.247,0.99563616,4.77781682505339,26.800365528,,0.644981622582943
10/31/2004,-39.375,35.024,373.0,-11.396400451660199,18.649,0.0,3.9368120563180296,23.36738004,,0.5634564813389771
11/30/2004,-39.375,35.51,373.0,-11.396400451660199,22.857,1.50547014,3.4699000121782593,21.4514982,,0.6321636255274711
12/30/2004,-39.375,36.512,373.0,-11.396400451660199,22.56,1.079750304,4.03008894447602,25.260299208000003,,0.532138694323239
1/29/2005,-39.375,34.154,373.0,-11.396400451660199,21.063000000000002,1.9466416224,2.92864703191411,19.29948822,,0.6834266274780602
2/28/2005,-39.375,37.07,373.0,-11.396400451660199,21.438000000000002,0.0,2.8474074572702004,28.45334016,,0.525205055546498
3/30/2005,-39.375,27.539,373.0,-11.396400451660199,22.098000000000003,23.40086904,2.65041285501384,23.01147612,,0.9048570789947958
4/29/2005,-39.375,28.864,373.0,-11.396400451660199,20.537,1.5432361344,2.6646917096525096,15.30152226,,0.8433646740498841
5/29/2005,-39.375,28.432,373.0,-11.396400451660199,19.934,1.1509897104,4.091994810214141,18.80651034,,0.791767833463489
6/28/2005,-39.375,26.518,373.0,-11.396400451660199,19.599,0.6265639872,4.16496642060236,14.8640013,,0.8253466337347908
7/28/2005,-39.375,27.398000000000003,373.0,-11.396400451660199,17.546,0.0583648848,3.7873870101856806,21.77656488,,0.7861867239991608
8/27/2005,-39.375,28.81,373.0,-11.396400451660199,16.685,0.054931622400000005,3.4276117772586803,24.29088858,,0.754794096748168
9/26/2005,-39.375,33.872,373.0,-11.396400451660199,18.683,0.0,4.2871099083257,22.52036196,,0.59716735595577
10/26/2005,-39.375,33.510999999999996,373.0,-11.396400451660199,17.614,0.0,3.5085285125255,24.35950872,,0.5686311075655279
11/25/2005,-39.375,26.348000000000003,373.0,-11.396400451660199,21.133000000000003,16.110419112,2.97147932869578,5.20852572,,0.839745829931525
12/25/2005,-39.375,34.122,373.0,-11.396400451660199,18.412,0.0,3.5768180163291903,22.3694478,,0.5582331973946291
1/24/2006,-39.375,35.958,373.0,-11.396400451660199,20.5,0.0,3.7697713309172403,23.80246668,,0.560891059187613
2/23/2006,-39.375,38.239000000000004,373.0,-11.396400451660199,25.164,0.0,2.8800884471995403,25.85019258,,0.4224093722873929
3/25/2006,-39.375,33.353,373.0,-11.396400451660199,21.243000000000002,0.0343322712,2.99761877371057,19.1894094,,0.6577170934540799
4/24/2006,-39.375,28.574,373.0,-11.396400451660199,21.796,2.8324135512,3.4643822392597596,15.206003099999998,,0.8204031661458969
5/24/2006,-39.375,31.249000000000002,373.0,-11.396400451660199,20.86,0.2746581264,3.04439026077285,18.48256902,,0.74506879304611
6/23/2006,-39.375,25.122,373.0,-11.396400451660199,16.46,1.3732911576,4.12166027396752,9.49494636,,0.8471278167285071
7/23/2006,-39.375,21.717,373.0,-11.396400451660199,16.237000000000002,4.53186342,3.0145030546972595,5.33666052,,0.8798284861242909
8/22/2006,-39.375,29.230999999999998,373.0,-11.396400451660199,15.975,0.0205993728,3.76220588013508,19.82728008,,0.709020016304764
9/21/2006,-39.375,34.025999999999996,373.0,-11.396400451660199,19.416,0.0,4.156784994924251,26.471867472,,0.5771138738368149
10/21/2006,-39.375,32.952,373.0,-11.396400451660199,21.808000000000003,0.2403257544,4.6698746022082505,13.15018458,,0.677614529749779
11/20/2006,-39.375,36.23,373.0,-11.396400451660199,21.275,0.12359628,3.26235957968996,26.06816088,,0.56367835091065
12/20/2006,-39.375,35.951,373.0,-11.396400451660199,20.910999999999998,0.0,4.60523232028776,22.96051596,,0.5423734046052809
1/19/2007,-39.375,35.024,373.0,-11.396400451660199,18.977999999999998,0.0,3.8810109828832102,28.516612968,,0.563983107634645
2/18/2007,-39.375,25.565,373.0,-11.396400451660199,22.564,9.03796308,1.54664828401175,7.859027898,,0.8939206120095842
3/20/2007,-39.375,35.232,373.0,-11.396400451660199,22.122,0.0,3.2256064250948,21.80790198,,0.6051181686109821
4/19/2007,-39.375,30.294,373.0,-11.396400451660199,21.445999999999998,0.23946786,3.6426622351404303,13.35802464,,0.709810443795583
5/19/2007,-39.375,28.476,373.0,-11.396400451660199,20.137,1.9020076632,3.06113163651168,13.1011866,,0.7664832445008392
6/18/2007,-39.375,29.921999999999997,373.0,-11.396400451660199,18.017,0.0377654832,3.88048768756527,20.0084625,,0.7505767840002471
7/18/2007,-39.375,31.206999999999997,373.0,-11.396400451660199,15.616,0.0,2.15512308663935,21.23426628,,0.679211609286115
8/17/2007,-39.375,29.291,373.0,-11.396400451660199,16.487000000000002,0.0,4.858180236246961,22.57701048,,0.656346817952271
9/16/2007,-39.375,32.869,373.0,-11.396400451660199,16.935,0.0514984104,3.06453893091785,25.05240135,,0.639195226924787
