,Date,Elevation,Latitude,Longitude,Max Temperature,Min Temperature,Precipitation,Relative Humidity,Solar,Wind
1/6/1998,-38.4375,33.22,21.0,-3.90285992622375,25.671,0.0,5.8677132010017194,26.23235958,,0.630459872207355
2/5/1998,-38.4375,33.033,21.0,-3.90285992622375,26.541999999999998,0.7364279159999999,6.19549332843808,27.18078669,,0.6587108373502929
3/7/1998,-38.4375,33.474000000000004,21.0,-3.90285992622375,24.636999999999997,3.80058588,5.8822364311634505,27.49489182,,0.68466908887206
4/6/1998,-38.4375,34.109,21.0,-3.90285992622375,26.842,0.0,6.853682015993219,26.48705958,,0.6038026496788101
5/6/1998,-38.4375,34.056999999999995,21.0,-3.90285992622375,26.19,0.0,4.67326980283122,24.1936902,,0.6234643375187471
6/5/1998,-38.4375,32.931,21.0,-3.90285992622375,25.375,0.04634856,6.33993863102247,22.5736353,,0.6049287772823959
7/5/1998,-38.4375,31.618000000000002,21.0,-3.90285992622375,23.105999999999998,0.0,7.11979028768748,22.58622864,,0.616464555434225
8/4/1998,-38.4375,32.365,21.0,-3.90285992622375,23.517,0.0,7.62624710908088,24.41329038,,0.616171400747412
9/3/1998,-38.4375,32.361999999999995,21.0,-3.90285992622375,23.065,0.147628764,7.2966148818857,26.07249168,,0.602757850691005
10/3/1998,-38.4375,32.639,21.0,-3.90285992622375,24.053,0.1064300472,7.41693034473472,25.52135508,,0.6444730744178699
11/2/1998,-38.4375,32.514,21.0,-3.90285992622375,25.005,0.0,6.25572067402792,26.92118988,,0.674914065991724
12/2/1998,-38.4375,32.419000000000004,21.0,-3.90285992622375,25.041,0.0,6.12501292782012,25.638806699999996,,0.6558806045691501
1/1/1999,-38.4375,32.906,21.0,-3.90285992622375,25.96,0.0,7.69382936509908,26.918559000000002,,0.627864065174636
1/31/1999,-38.4375,33.048,21.0,-3.90285992622375,25.359,3.44009592,5.75011255424448,24.66084438,,0.6580548025680439
3/2/1999,-38.4375,30.56,21.0,-3.90285992622375,24.448,22.2507432,4.89161064080446,26.7783732,,0.779196526391033
4/1/1999,-38.4375,32.315,21.0,-3.90285992622375,24.619,0.0034332264000000003,5.78287766443637,26.78754402,,0.5999291100645009
5/1/1999,-38.4375,29.78,21.0,-3.90285992622375,23.723000000000003,5.43136536,4.24274864609652,24.14261178,,0.7908304114516999
