"Date","Longitude","Latitude","Elevation","Max Temperature","Min Temperature","Precipitation","Wind","Relative Humidity","Solar"
"1/1/1979","-48.125","-15.7676000595093","1185","26.051","16.497","4.3498962","1.99053459356757","0.845966580231831","31.15445256",
"1/2/1979","-48.125","-15.7676000595093","1185","26.537","17.039","3.5036082","2.17384505285296","0.826376000948863","31.23146178",
"1/3/1979","-48.125","-15.7676000595093","1185","27.745","15.565","12.02488056","1.02294528731386","0.838237479830205","31.1369085",
"1/4/1979","-48.125","-15.7676000595093","1185","29.262","16.806","10.847279556","1.04912712314222","0.842406792202821","26.45527608",
"1/5/1979","-48.125","-15.7676000595093","1185","27.766","16.842","10.34603244","1.04701419919669","0.850175041300998","17.53796448",
"1/6/1979","-48.125","-15.7676000595093","1185","26.494","18.505","31.77451872","1.20189024421177","0.895551200512877","17.9151156",
"1/7/1979","-48.125","-15.7676000595093","1185","22.266","18.831","18.82953648","1.3896785896571","0.922388345942993","13.67572842",
"1/8/1979","-48.125","-15.7676000595093","1185","23.296","17.914","11.36398788","1.29267222231477","0.931635587518607","7.92253332",
"1/9/1979","-48.125","-15.7676000595093","1185","19.573","17.214","19.977948504","1.37231471554496","0.951835427567812","3.196633212",
"1/10/1979","-48.125","-15.7676000595093","1185","19.281","17.585","5.996132604","1.62116416973314","0.951815530717501","2.331562068",
"1/11/1979","-48.125","-15.7676000595093","1185","20.986","16.799","2.20670676","1.52232769386859","0.94147278978631","11.1026871",
"1/12/1979","-48.125","-15.7676000595093","1185","24.841","17.609","7.481005308","1.53398827384279","0.908200338064688","22.3834482",
"1/13/1979","-48.125","-15.7676000595093","1185","23.792","18.03","9.729771084","2.1120689568179","0.928347603695952","17.5678884",
"1/14/1979","-48.125","-15.7676000595093","1185","22.892","18.598","5.18417118","1.78736169880804","0.917233377380424","14.2517808",
"1/15/1979","-48.125","-15.7676000595093","1185","26.215","18.09","11.0326810032","2.14499340587551","0.905538791969919","22.057704",
"1/16/1979","-48.125","-15.7676000595093","1185","22.947","18.078","2.6401519944","2.73643284410069","0.918395358381598","11.50194258",
"1/17/1979","-48.125","-15.7676000595093","1185","24.482","17.92","6.502526316","2.09788837445094","0.905120516402915","16.4237562",
"1/18/1979","-48.125","-15.7676000595093","1185","25.039","19.115","17.3523996","1.44705766330421","0.9169740812668","22.11159006",
"1/19/1979","-48.125","-15.7676000595093","1185","22.522","19.03","15.68212668","2.00647784358095","0.932670155908181","11.54408058",
"1/20/1979","-48.125","-15.7676000595093","1185","22.458","16.631","16.95671136","2.84144920959207","0.880941022334609","12.724144272",
"1/21/1979","-48.125","-15.7676000595093","1185","25.467","16.13","2.3466092904","1.84595533796923","0.852217814892229","25.85744874",
"1/22/1979","-48.125","-15.7676000595093","1185","25.147","16.09","16.3370032128","1.41222451701675","0.875785135864725","25.01774712",
"1/23/1979","-48.125","-15.7676000595093","1185","23.351","17.51","11.7433512504","0.917567516751174","0.918672045508715","15.405182928",
"1/24/1979","-48.125","-15.7676000595093","1185","25.677","18.289","23.18544468","1.27269702914394","0.917125878810356","14.34386034",
"1/25/1979","-48.125","-15.7676000595093","1185","27.299","17.654","14.0281695864","1.19512114917516","0.879850324520226","24.896362968",
"1/26/1979","-48.125","-15.7676000595093","1185","23.245","18.752","32.334990624","0.841925076063578","0.918800470740192","7.738145478",
"1/27/1979","-48.125","-15.7676000595093","1185","23.526","18.273","16.172223192","1.85059724097291","0.928843252168238","15.6316446",
"1/28/1979","-48.125","-15.7676000595093","1185","25.396","17.64","10.2430337184","2.18828043786401","0.874540326442271","17.38102068",
"1/29/1979","-48.125","-15.7676000595093","1185","25.876","17.646","4.5121177872","1.52072567301451","0.863073619812527","25.16209164",
"1/30/1979","-48.125","-15.7676000595093","1185","25.611","18.657","12.030028704","1.59146502248023","0.904868352418758","26.65828116",
"1/31/1979","-48.125","-15.7676000595093","1185","24.569","18.508","14.8212447984","1.49069860016909","0.910487048232707","17.75857968",
"2/1/1979","-48.125","-15.7676000595093","1185","21.186","17.78","21.12121746","2.26629701550922","0.947412872052339","8.40442644",
"2/2/1979","-48.125","-15.7676000595093","1185","23.075","17.839","2.041053444","1.46947361191389","0.911778777393943","12.88316664",
"2/3/1979","-48.125","-15.7676000595093","1185","24.282","17.138","8.36677656","1.69190599334533","0.899267905791588","14.53314564",
"2/4/1979","-48.125","-15.7676000595093","1185","25.031","17.299","15.949054656","1.42828294683584","0.902966385581754","22.3400781",
"2/5/1979","-48.125","-15.7676000595093","1185","21.673","18.415","14.0994072","2.46347455885936","0.945437481620189","8.930643282",
"2/6/1979","-48.125","-15.7676000595093","1185","23.852","18.109","18.89734068","1.90644958123309","0.931401918207334","11.22041025",
"2/7/1979","-48.125","-15.7676000595093","1185","23.122","17.109","18.6527230128","1.64758359933635","0.943876165080378","10.83740382",
"2/8/1979","-48.125","-15.7676000595093","1185","20.983","18.866","44.37275112","1.57502412398804","0.957920184352614","5.318773794",
"2/9/1979","-48.125","-15.7676000595093","1185","24.66","18.613","34.71466608","1.72266283984243","0.908986005174406","15.547333392",
"2/10/1979","-48.125","-15.7676000595093","1185","25.48","17.885","3.840926796","2.07845296899313","0.878274299280803","24.33863952",
"2/11/1979","-48.125","-15.7676000595093","1185","26.635","17.029","4.47349392","1.96192316553501","0.858042757261497","27.408761928",
"2/12/1979","-48.125","-15.7676000595093","1185","24.732","16.871","6.0768111384","1.25469013373043","0.889836165724383","19.426780152",
"2/13/1979","-48.125","-15.7676000595093","1185","24.161","18.257","7.901579196","1.22744832544381","0.916673021810413","18.30971862",
"2/14/1979","-48.125","-15.7676000595093","1185","23.57","18.859","22.2704928","1.58976303712005","0.941624172143205","6.513072732",
"2/15/1979","-48.125","-15.7676000595093","1185","19.838","18.199","23.318479548","2.26551229454357","0.952439043181192","3.92562963",
"2/16/1979","-48.125","-15.7676000595093","1185","23.222","18.27","3.164577372","2.70892155177203","0.923657370603931","10.56481524",
"2/17/1979","-48.125","-15.7676000595093","1185","23.437","18.605","1.448821908","1.4744562247809","0.912183189723414","9.266568264",
"2/18/1979","-48.125","-15.7676000595093","1185","23.951","15.906","8.9881843968","1.38864290688097","0.929529012498957","18.949772592",
"2/19/1979","-48.125","-15.7676000595093","1185","24.27","19.066","2.5646216904","2.60277510964074","0.880880998827702","16.14746736",
"2/20/1979","-48.125","-15.7676000595093","1185","23.927","18.549","6.175512108","2.23549921158008","0.903544367125861","12.0506643",
"2/21/1979","-48.125","-15.7676000595093","1185","25.816","18.865","15.787695996","0.877280389339143","0.90980930792833","21.40667118",
"2/22/1979","-48.125","-15.7676000595093","1185","24.021","18.924","27.2804148","1.23312326950342","0.943393756045857","7.50042738",
"2/23/1979","-48.125","-15.7676000595093","1185","25.493","17.51","0.0720977904","3.21424829087519","0.844919694217228","23.44522374",
"2/24/1979","-48.125","-15.7676000595093","1185","25.188","15.455","0.061798176","3.47934553024035","0.79692181225192","30.42371178",
"2/25/1979","-48.125","-15.7676000595093","1185","25.161","16.512","0.667763316","3.28347762301445","0.800519674188061","26.00128116",
"2/26/1979","-48.125","-15.7676000595093","1185","25.89","16.573","0.0858307104","3.27770240044678","0.805900607412586","30.2809995",
"2/27/1979","-48.125","-15.7676000595093","1185","25.128","14.941","0.5355832608","3.03206204001839","0.820867783171784","23.334412248",
"2/28/1979","-48.125","-15.7676000595093","1185","22.719","16.36","0.2248764624","3.32380553331822","0.850553252305149","16.431528672",
"3/1/1979","-48.125","-15.7676000595093","1185","25.679","16.32","0.178527816","3.02846480244229","0.819304616854248","28.45957014",
"3/2/1979","-48.125","-15.7676000595093","1185","25.61","17.789","1.012802292","2.79140389845743","0.807240654397519","28.9157598",
"3/3/1979","-48.125","-15.7676000595093","1185","23.478","16.256","10.025026092","2.57924736871805","0.895417205547189","28.2358647",
"3/4/1979","-48.125","-15.7676000595093","1185","25.775","17.388","0.0137329056","3.57600646106265","0.790647442331295","29.47719204",
"3/5/1979","-48.125","-15.7676000595093","1185","24.987","17.25","0.0549316296","3.54883143351892","0.819178888739448","24.86193606",
"3/6/1979","-48.125","-15.7676000595093","1185","22.002","18.07","1.950075","2.54737727884713","0.876787539039531","9.28907136",
"3/7/1979","-48.125","-15.7676000595093","1185","26.887","18.2","6.05792844","1.1918707342111","0.868608498865531","20.638290672",
"3/8/1979","-48.125","-15.7676000595093","1185","25.378","18.389","11.24554068","1.52052412047328","0.890066096707257","27.57740616",
"3/9/1979","-48.125","-15.7676000595093","1185","24.695","17.268","12.0094254","1.97518803992644","0.906253737987746","27.1245411",
"3/10/1979","-48.125","-15.7676000595093","1185","24.149","17.762","1.3441088664","2.44067021340614","0.874590360571205","22.1415705",
"3/11/1979","-48.125","-15.7676000595093","1185","25.297","18.575","4.473496116","2.50606022977225","0.871199802851464","17.120645712",
"3/12/1979","-48.125","-15.7676000595093","1185","26.41","17.493","1.390456908","2.1261896550208","0.829561302515752","28.164716208",
"3/13/1979","-48.125","-15.7676000595093","1185","28.046","15.811","0.0205993728","1.71774076573322","0.773296053996677","28.73880216",
"3/14/1979","-48.125","-15.7676000595093","1185","26.984","16.476","1.253127996","0.917706048048695","0.830381689096992","24.83477766",
"3/15/1979","-48.125","-15.7676000595093","1185","27.543","16.047","5.009083164","1.07398845505094","0.870028469224719","19.646214228",
"3/16/1979","-48.125","-15.7676000595093","1185","27.161","18.379","14.577483492","1.00675939321959","0.891093158119615","20.188518408",
"3/17/1979","-48.125","-15.7676000595093","1185","22.717","18.95","45.248262984","1.78384269716747","0.937719713765783","9.584719182",
"3/18/1979","-48.125","-15.7676000595093","1185","23.366","18.043","20.7572958","1.1555771952913","0.937442394235728","12.20164218",
"3/19/1979","-48.125","-15.7676000595093","1185","23.527","17.824","14.2118464104","2.3935466011327","0.925599979021434","17.176157208",
"3/20/1979","-48.125","-15.7676000595093","1185","24.148","16.011","1.4556884832","2.84986870560217","0.87148053063176","19.37649348",
"3/21/1979","-48.125","-15.7676000595093","1185","23.994","15.301","2.4358754304","2.34863739086399","0.878651843504393","20.368853712",
"3/22/1979","-48.125","-15.7676000595093","1185","23.449","16.651","1.95693696","2.38154358591214","0.881565029076471","17.837663328",
"3/23/1979","-48.125","-15.7676000595093","1185","27.933","15.521","2.63328318","1.40415391235572","0.841686762086629","27.21515778",
"3/24/1979","-48.125","-15.7676000595093","1185","25.095","15.046","6.24504348","0.891419670291932","0.874171811007601","23.83796088",
"3/25/1979","-48.125","-15.7676000595093","1185","24.006","18.356","5.513765112","1.18705953429898","0.929560788821261","10.82323098",
"3/26/1979","-48.125","-15.7676000595093","1185","25.273","18.868","12.68576892","1.62188217311276","0.911060759873716","20.96246538",
"3/27/1979","-48.125","-15.7676000595093","1185","23.551","17.671","1.630783152","2.13526884749663","0.88379786631236","12.698208072",
"3/28/1979","-48.125","-15.7676000595093","1185","25.775","15.736","0.411987564","2.56818085656182","0.831502291247647","22.08509928",
"3/29/1979","-48.125","-15.7676000595093","1185","25.756","18.161","4.8065193144","1.80206897311669","0.884267646063178","22.1344308",
"3/30/1979","-48.125","-15.7676000595093","1185","26.403","19.017","6.5900857464","1.43855819349568","0.889701223132383","24.98855544",
"3/31/1979","-48.125","-15.7676000595093","1185","25.123","18.622","9.496308024","1.56868162605857","0.916780820342688","16.285106268",
"4/1/1979","-48.125","-15.7676000595093","1185","26.203","17.893","16.331865444","1.4007541218951","0.891459866681839","18.08026164",
"4/2/1979","-48.125","-15.7676000595093","1185","23.075","19.042","18.7831854","1.12093495553363","0.929771060451292","9.30222504",
"4/3/1979","-48.125","-15.7676000595093","1185","24.567","17.973","6.255343584","1.67630694286169","0.918269584183107","13.13189676",
"4/4/1979","-48.125","-15.7676000595093","1185","25.505","18.163","3.2890316184","1.47763880580741","0.882295758210789","23.1463161",
"4/5/1979","-48.125","-15.7676000595093","1185","26.457","17.545","3.4675597368","1.09753352752348","0.860199126299339","21.4644357",
"4/6/1979","-48.125","-15.7676000595093","1185","28.088","16.542","6.56604468","1.09233166977682","0.849238869150347","24.6183237",
"4/7/1979","-48.125","-15.7676000595093","1185","26.207","17.972","6.4510343784","2.01186889898772","0.890966214101319","18.95113152",
"4/8/1979","-48.125","-15.7676000595093","1185","22.687","16.94","0.8480071944","2.24464434503544","0.902010157453793","9.46867122",
"4/9/1979","-48.125","-15.7676000595093","1185","27.272","17.18","6.0647939424","1.9775091971774","0.830152978539575","25.52084982",
"4/10/1979","-48.125","-15.7676000595093","1185","23.937","17.329","9.11522412","1.83972330314329","0.920299464484902","13.9830237",
"4/11/1979","-48.125","-15.7676000595093","1185","27.155","15.692","7.868960064","1.48343209534554","0.869902123483086","24.0814125",
