,Date,Elevation,Latitude,Longitude,Max Temperature,Min Temperature,Precipitation,Relative Humidity,Solar,Wind
1/6/1998,-41.25,28.274,-9999.0,-22.324399948120103,26.063000000000002,2.3191435080000002,4.91952986647755,13.95764694,,0.8042722453387711
2/5/1998,-41.25,29.915,-9999.0,-22.324399948120103,25.646,0.0,4.71268249167799,29.485064952,,0.754808016925687
3/7/1998,-41.25,28.488000000000003,-9999.0,-22.324399948120103,25.959,0.580216104,4.62142526391832,25.865775162,,0.839755694198688
4/6/1998,-41.25,25.156,-9999.0,-22.324399948120103,22.596999999999998,0.39482136,3.7195028565805,22.30869852,,0.6889719414110239
5/6/1998,-41.25,23.918000000000003,-9999.0,-22.324399948120103,22.011999999999997,1.318359852,5.411502181913531,8.50303332,,0.7106870013030671
6/5/1998,-41.25,22.528000000000002,-9999.0,-22.324399948120103,20.046,1.54151892,5.41033610494063,6.96341196,,0.695305576247869
7/5/1998,-41.25,22.759,-9999.0,-22.324399948120103,21.635,1.702882152,4.6461262635081395,14.95664892,,0.8318054748115759
8/4/1998,-41.25,24.939,-9999.0,-22.324399948120103,22.165,0.1871111016,3.58532859824009,15.562467000000002,,0.790635325416715
9/3/1998,-41.25,25.377,-9999.0,-22.324399948120103,20.849,0.0171661392,7.27972448336581,21.61878192,,0.7724084595140559
10/3/1998,-41.25,25.441999999999997,-9999.0,-22.324399948120103,22.267,1.90544112,4.67745003160913,25.011453888000002,,0.8003893966740541
11/2/1998,-41.25,24.249000000000002,-9999.0,-22.324399948120103,22.474,0.3810881304,3.1431805595328903,21.7173933,,0.7458926638761251
12/2/1998,-41.25,26.081,-9999.0,-22.324399948120103,22.379,0.013732905600000001,3.74317852973537,28.86732216,,0.7962080135896601
1/1/1999,-41.25,27.629,-9999.0,-22.324399948120103,24.71,0.0,6.086385411783629,22.92079842,,0.767658123401449
1/31/1999,-41.25,29.28,-9999.0,-22.324399948120103,25.491999999999997,5.3832987,6.545633909794071,27.772992,,0.759237578908015
3/2/1999,-41.25,26.866,-9999.0,-22.324399948120103,25.123,8.1813815064,5.290024264746441,20.3917518,,0.8512706667204599
4/1/1999,-41.25,28.174,-9999.0,-22.324399948120103,25.438000000000002,0.0,4.76368669887256,23.13106632,,0.7649027522252071
5/1/1999,-41.25,25.608,-9999.0,-22.324399948120103,23.463,1.393032744,2.41064952118242,18.6401754,,0.8248591994003021
5/31/1999,-41.25,21.467,-9999.0,-22.324399948120103,20.08,0.027465811200000002,9.49006346163831,12.44491992,,0.696782007592949
6/30/1999,-41.25,24.16,-9999.0,-22.324399948120103,21.374000000000002,0.2128604544,8.27640483190516,8.8113951,,0.732382300833513
7/30/1999,-41.25,23.91,-9999.0,-22.324399948120103,21.910999999999998,0.0205993656,3.6651255544215697,17.39126412,,0.8095890988228679
8/29/1999,-41.25,25.802,-9999.0,-22.324399948120103,21.627,0.0,6.19179265349696,21.22267284,,0.750340013748904
9/28/1999,-41.25,22.66,-9999.0,-22.324399948120103,21.006,0.0,4.5655897341947105,15.816659112,,0.796782960103213
10/28/1999,-41.25,22.706,-9999.0,-22.324399948120103,21.085,5.9755338,5.4718562768893895,16.39653102,,0.854619284483059
11/27/1999,-41.25,25.839000000000002,-9999.0,-22.324399948120103,23.651999999999997,17.25540264,3.5535917193402797,28.16651592,,0.8647906652178741
12/27/1999,-41.25,26.737,-9999.0,-22.324399948120103,23.839000000000002,0.0,4.8425704684840305,30.370059,,0.8101499643691049
1/26/2000,-41.25,26.921,-9999.0,-22.324399948120103,24.410999999999998,74.755098432,7.18905296161941,9.93352788,,0.8822632298928019
2/25/2000,-41.25,28.496,-9999.0,-22.324399948120103,25.002,0.0,3.31709822756634,27.74452545,,0.7775703810537379
3/26/2000,-41.25,27.405,-9999.0,-22.324399948120103,25.288,1.84021056,2.99734353245417,23.28289308,,0.842716142001683
4/25/2000,-41.25,24.752,-9999.0,-22.324399948120103,22.438000000000002,0.0,2.16549903107331,20.15370468,,0.62243493746047
5/25/2000,-41.25,23.78,-9999.0,-22.324399948120103,20.601999999999997,0.06179814,5.39018442172191,15.61055364,,0.77357263961282
6/24/2000,-41.25,24.015,-9999.0,-22.324399948120103,20.116,0.0,7.3651775517064,15.9239736,,0.7114095807240601
7/24/2000,-41.25,20.125,-9999.0,-22.324399948120103,19.11,3.50532396,7.795123337461,5.85421668,,0.770538784208305
8/23/2000,-41.25,24.848000000000003,-9999.0,-22.324399948120103,22.107,0.0,7.0966070874210505,20.64352212,,0.712382452425462
9/22/2000,-41.25,26.426,-9999.0,-22.324399948120103,21.498,0.0034332264000000003,6.671222282920481,24.444110231999996,,0.742410895486864
10/22/2000,-41.25,26.28,-9999.0,-22.324399948120103,23.932,0.0,4.59305913533415,27.1777518,,0.8227843663699069
11/21/2000,-41.25,27.381999999999998,-9999.0,-22.324399948120103,24.26,0.0,5.94431985113225,27.56396358,,0.801834628412586
12/21/2000,-41.25,24.815,-9999.0,-22.324399948120103,22.502,0.0,3.17400286434282,30.36385692,,0.785222443398612
1/20/2001,-41.25,28.829,-9999.0,-22.324399948120103,25.406999999999996,2.9491411463999997,5.068852366396429,28.83200814,,0.7704255517473041
2/19/2001,-41.25,28.169,-9999.0,-22.324399948120103,25.311999999999998,0.0,5.34108790514645,28.33385796,,0.7995630199612901
