"Date","Longitude","Latitude","Elevation","Max Temperature","Min Temperature","Precipitation","Wind","Relative Humidity","Solar"
"1/1/1979","-46.25","-15.4553003311157","613","27.454","17.393","4.21857792","1.87673888521958","0.865016081968589","30.6746469",
"1/2/1979","-46.25","-15.4553003311157","613","27.695","17.877","3.05815068","1.53678308344681","0.872438805663946","30.72077172",
"1/3/1979","-46.25","-15.4553003311157","613","26.77","18.075","6.50253492","1.35660754079208","0.892717257627716","30.50229132",
"1/4/1979","-46.25","-15.4553003311157","613","29.736","16.449","3.1139385192","1.07017965371705","0.856690879056749","30.20073174",
"1/5/1979","-46.25","-15.4553003311157","613","28.07","18.172","7.11965664","1.29311865924322","0.887431014154966","29.55627594",
"1/6/1979","-46.25","-15.4553003311157","613","26.879","18.965","6.44245092","1.38294659092431","0.911583364155209","14.7019491",
"1/7/1979","-46.25","-15.4553003311157","613","26.225","20.306","37.0960164","1.19615338194457","0.925369153112845","11.8788777",
"1/8/1979","-46.25","-15.4553003311157","613","21.397","19.346","10.1743653384","1.90585403102926","0.955437792127543","3.34563732",
"1/9/1979","-46.25","-15.4553003311157","613","23.212","17.955","8.6036697504","1.70302486505073","0.94354691975112","13.58909757",
"1/10/1979","-46.25","-15.4553003311157","613","20.827","18.479","15.3705595464","1.06157107467375","0.965922345194356","2.59734348",
"1/11/1979","-46.25","-15.4553003311157","613","23.067","18.88","23.928731712","1.18012297176317","0.954981062318591","9.00725976",
"1/12/1979","-46.25","-15.4553003311157","613","26.955","19.519","17.286295392","1.13574381861832","0.927371142757439","19.35230688",
"1/13/1979","-46.25","-15.4553003311157","613","21.769","19.121","30.2896566","1.94680694183421","0.961435437833452","3.896721",
"1/14/1979","-46.25","-15.4553003311157","613","23.09","18.432","18.5274108","2.00827291025967","0.958713174848217","4.15350198",
"1/15/1979","-46.25","-15.4553003311157","613","20.831","18.256","26.621244","2.0893676490223","0.966676124672883","3.82871448",
"1/16/1979","-46.25","-15.4553003311157","613","22.975","18.37","7.69128444","1.90145066369728","0.952486373593469","13.04938026",
"1/17/1979","-46.25","-15.4553003311157","613","23.444","19.095","20.3401656","1.53481797341883","0.95740253873627","8.3006469",
"1/18/1979","-46.25","-15.4553003311157","613","25.384","20.154","25.241093352","1.99977654148194","0.940061010741544","20.80507302",
"1/19/1979","-46.25","-15.4553003311157","613","23.849","18.881","7.1514121248","2.57345665768709","0.935928131947982","14.45703192",
"1/20/1979","-46.25","-15.4553003311157","613","23.18","18.871","6.83383788","1.6335145552381","0.947539039292204","10.77867864",
"1/21/1979","-46.25","-15.4553003311157","613","28.139","18.593","4.6666155744","0.907805235262852","0.911444385113243","20.465714448",
"1/22/1979","-46.25","-15.4553003311157","613","27.441","17.445","15.492445128","0.786708672289057","0.920544559532548","26.26565976",
"1/23/1979","-46.25","-15.4553003311157","613","27.885","19.233","13.0273832808","1.13603203196574","0.923016576341826","22.07863206",
"1/24/1979","-46.25","-15.4553003311157","613","27.115","19.767","11.35197","1.11667930445514","0.923868278809227","15.60127896",
"1/25/1979","-46.25","-15.4553003311157","613","26.925","19.404","18.26906364","1.23054483325462","0.926735941811033","25.739944848",
"1/26/1979","-46.25","-15.4553003311157","613","26.748","19.474","22.192382772","1.06760371385244","0.935122024701298","23.871492288",
"1/27/1979","-46.25","-15.4553003311157","613","23.615","20.121","39.79280484","1.04451789964836","0.950231257266056","6.470263332",
"1/28/1979","-46.25","-15.4553003311157","613","24.964","19.863","37.327783464","1.19994714824798","0.928062198312073","19.53697788",
"1/29/1979","-46.25","-15.4553003311157","613","27.363","19.243","5.14726776","1.25059137957726","0.881315238125159","25.56770976",
"1/30/1979","-46.25","-15.4553003311157","613","27.491","19.833","11.2455357264","1.38734545733122","0.900097272706817","24.28402482",
"1/31/1979","-46.25","-15.4553003311157","613","25.23","20.763","24.139019988","1.57667952197322","0.943311978084924","16.49868426",
"2/1/1979","-46.25","-15.4553003311157","613","25.562","20.019","12.478070772","2.33233737861514","0.914142195922318","21.05482788",
