"Date","Longitude","Latitude","Elevation","Max Temperature","Min Temperature","Precipitation","Wind","Relative Humidity","Solar"
"1/1/1979","-38.75","-8.58629035949707","381","33.727","21.475","0","5.5118657730191","0.460427002741493","24.38313624",
"1/2/1979","-38.75","-8.58629035949707","381","35.929","19.821","0","4.76458634845777","0.482428251696027","22.73051088",
"1/3/1979","-38.75","-8.58629035949707","381","34.302","20.348","0","4.44848996118577","0.492433654853891","26.49690198",
"1/4/1979","-38.75","-8.58629035949707","381","35.914","20.648","0","4.0874155133513","0.435780774728952","27.52931286",
"1/5/1979","-38.75","-8.58629035949707","381","37.584","22.002","0","3.76881987374019","0.375637576106653","28.6729785",
"1/6/1979","-38.75","-8.58629035949707","381","37.792","22.434","0","3.1822428749182","0.322229323231017","29.1500325",
"1/7/1979","-38.75","-8.58629035949707","381","37.404","22.459","0.4360200264","3.03773588844659","0.380547251585012","28.3788612",
"1/8/1979","-38.75","-8.58629035949707","381","37.144","24.463","0.88405596","2.70009142762832","0.390832032034402","22.547756952",
"1/9/1979","-38.75","-8.58629035949707","381","38.001","23.488","0.0909805464","3.00395334108658","0.336740996307297","26.321673312",
"1/10/1979","-38.75","-8.58629035949707","381","35.795","23.946","0.0137329056","4.45700764772757","0.36364890104123","24.35946642",
"1/11/1979","-38.75","-8.58629035949707","381","34.512","22.798","0.3192904224","4.65982566513313","0.486189085574771","20.99913948",
"1/12/1979","-38.75","-8.58629035949707","381","36.415","21.197","0.070381296","4.44666653452794","0.427347574539863","27.59474268",
"1/13/1979","-38.75","-8.58629035949707","381","36.099","22.774","1.65652938","2.48314502462066","0.471118001157759","20.01846816",
"1/14/1979","-38.75","-8.58629035949707","381","31.482","22.586","0.969886764","3.83333053397808","0.634222715682282","11.68306452",
"1/15/1979","-38.75","-8.58629035949707","381","32.869","21.777","3.4950261384","2.64093655550162","0.632970700098547","17.63212428",
"1/16/1979","-38.75","-8.58629035949707","381","33.584","22.079","4.629712752","2.43723474473406","0.608668380588947","23.27737338",
"1/17/1979","-38.75","-8.58629035949707","381","33.008","22.43","1.93634136","3.11916833389515","0.617549410373355","13.63449294",
"1/18/1979","-38.75","-8.58629035949707","381","34.701","21.887","1.9500732936","1.82091772661143","0.549209061105251","14.5708884",
"1/19/1979","-38.75","-8.58629035949707","381","34.577","22.234","0.0205993656","2.91481929725833","0.456392453427402","16.675985628",
"1/20/1979","-38.75","-8.58629035949707","381","35.888","22.451","0.0034332264","4.34836808899058","0.421529618888406","27.69755922",
"1/21/1979","-38.75","-8.58629035949707","381","35.455","20.503","0","4.84295063101551","0.405310442292662","29.721836232",
"1/22/1979","-38.75","-8.58629035949707","381","35.535","20.153","0","2.98957863915226","0.427433535430694","29.118267432",
"1/23/1979","-38.75","-8.58629035949707","381","34.254","23.607","0.724412088","3.44656180618351","0.488793760542281","18.314379648",
"1/24/1979","-38.75","-8.58629035949707","381","35.256","22.296","3.25298088","3.54439400040454","0.55819791228865","21.1013433",
"1/25/1979","-38.75","-8.58629035949707","381","33.935","21.309","2.650450752","3.73889791950118","0.647250289881774","20.600660088",
"1/26/1979","-38.75","-8.58629035949707","381","33.638","21.438","0.703811232","3.3964297394654","0.55911706874964","20.74454487",
"1/27/1979","-38.75","-8.58629035949707","381","34.308","22.466","0.394821","3.02637111855417","0.505969614753935","22.5791982",
"1/28/1979","-38.75","-8.58629035949707","381","34.405","24.4","0.1853941176","3.00212272914363","0.511389970948303","15.428142",
"1/29/1979","-38.75","-8.58629035949707","381","35.863","22.29","0.0205993728","4.22681592494423","0.468985034648529","28.77665436",
"1/30/1979","-38.75","-8.58629035949707","381","36.304","22.373","0","2.62298493485732","0.476456961470775","23.57172936",
"1/31/1979","-38.75","-8.58629035949707","381","35.135","23.026","0.089263872","2.20403500794522","0.492275604283445","21.3777603",
