,Date,Elevation,Latitude,Longitude,Max Temperature,Min Temperature,Precipitation,Relative Humidity,Solar,Wind
1/6/1998,-35.3125,31.26,133.0,-8.58629035949707,20.69,6.761745036000001,2.38124710833684,27.42282828,,0.754953023439609
2/5/1998,-35.3125,32.415,133.0,-8.58629035949707,21.721999999999998,0.5372999784,2.88005169931956,27.779956128000002,,0.7270687457387289
3/7/1998,-35.3125,31.211,133.0,-8.58629035949707,21.041999999999998,0.25405884,2.4395601512228198,24.9629103,,0.7363815751478
4/6/1998,-35.3125,32.675,133.0,-8.58629035949707,22.478,0.456619248,3.17907088377715,25.597414800000003,,0.7272378682105111
5/6/1998,-35.3125,31.573,133.0,-8.58629035949707,20.154,0.21285990000000002,2.48793132447319,21.96996264,,0.7468049215099009
6/5/1998,-35.3125,29.619,133.0,-8.58629035949707,20.125999999999998,1.021385052,2.8807076047499,18.884138399999998,,0.7536553898631841
7/5/1998,-35.3125,24.26,133.0,-8.58629035949707,20.391,6.98318928,2.33271838138394,6.75646668,,0.890495430523963
8/4/1998,-35.3125,28.09,133.0,-8.58629035949707,20.634,3.004077132,3.31210927798312,22.98656052,,0.7380834493595021
9/3/1998,-35.3125,26.217,133.0,-8.58629035949707,19.948,2.2367479968,3.0805338815505294,10.94602302,,0.8477918972829379
10/3/1998,-35.3125,26.125,133.0,-8.58629035949707,19.989,9.18388116,2.69333904928564,16.18689312,,0.8748194964839271
11/2/1998,-35.3125,31.854,133.0,-8.58629035949707,22.609,0.0,4.09464202872656,27.31468176,,0.70056404300761
12/2/1998,-35.3125,32.563,133.0,-8.58629035949707,22.394000000000002,0.0,4.33925415241418,27.17280108,,0.685128090703935
1/1/1999,-35.3125,29.4,133.0,-8.58629035949707,21.549,2.039337288,3.2272671914315,12.74467392,,0.7543262863939301
1/31/1999,-35.3125,32.03,133.0,-8.58629035949707,21.334,0.46691892,3.3595458390064903,28.169832168000003,,0.6749844714583929
3/2/1999,-35.3125,32.298,133.0,-8.58629035949707,21.441999999999997,1.2960434664,2.98132098366714,25.74551304,,0.721790602158123
4/1/1999,-35.3125,29.862,133.0,-8.58629035949707,20.805,3.1379706,2.7535573526028103,18.420525,,0.7762958198796109
5/1/1999,-35.3125,27.041999999999998,133.0,-8.58629035949707,21.131,16.409111004,1.74668764529066,20.21843628,,0.9076009684824119
5/31/1999,-35.3125,30.660999999999998,133.0,-8.58629035949707,18.04,0.0,1.91761329548502,18.56767428,,0.7934367675541409
6/30/1999,-35.3125,28.483,133.0,-8.58629035949707,15.712,0.0,1.8502437384406,21.13846632,,0.7714806101791469
7/30/1999,-35.3125,27.029,133.0,-8.58629035949707,19.146,3.4641273383999995,3.27226901287628,22.40105724,,0.7534209042375221
8/29/1999,-35.3125,23.583000000000002,133.0,-8.58629035949707,20.989,4.6520242128,3.00036972924742,5.63478858,,0.8988486004889871
9/28/1999,-35.3125,27.945999999999998,133.0,-8.58629035949707,20.857,3.2272329888,3.3090912794546496,23.08055544,,0.8104432672014409
10/28/1999,-35.3125,30.95,133.0,-8.58629035949707,21.287,0.006866452800000001,3.93084314060902,27.28461312,,0.715566263309602
