,Date,Elevation,Latitude,Longitude,Max Temperature,Min Temperature,Precipitation,Relative Humidity,Solar,Wind
1/6/1998,-43.125,34.356,83.0,-3.59063005447388,23.326999999999998,0.052356707999999995,3.4900322573815,15.25556376,,0.568017791286152
2/5/1998,-43.125,37.077,83.0,-3.59063005447388,24.165,0.0,3.09807571732971,20.4351174,,0.559396022193898
3/7/1998,-43.125,33.355,83.0,-3.59063005447388,22.711,9.4602618,2.17177271025823,25.40261016,,0.8389389571596692
4/6/1998,-43.125,34.626999999999995,83.0,-3.59063005447388,22.498,0.0,2.47184826006464,20.3131134,,0.6804760173483481
5/6/1998,-43.125,32.924,83.0,-3.59063005447388,23.385,8.8302620376,1.59034199210875,11.88056124,,0.8493296664963509
6/5/1998,-43.125,33.119,83.0,-3.59063005447388,22.62,0.94413744,1.5235879796000902,20.892769199999996,,0.688666368054471
7/5/1998,-43.125,34.361,83.0,-3.59063005447388,21.862,0.0,2.71200883818465,17.7553098,,0.543982237467271
8/4/1998,-43.125,34.466,83.0,-3.59063005447388,22.421,0.207710568,2.9316600186311,17.35491924,,0.578246857759863
9/3/1998,-43.125,34.298,83.0,-3.59063005447388,22.675,0.0,3.34750054762065,17.172730800000004,,0.506290589857872
10/3/1998,-43.125,35.203,83.0,-3.59063005447388,22.480999999999998,0.0,2.92565659870472,16.91476794,,0.5816799161151001
11/2/1998,-43.125,36.769,83.0,-3.59063005447388,23.478,0.0,3.20530385386899,16.95132774,,0.563450714371288
12/2/1998,-43.125,39.185,83.0,-3.59063005447388,23.596999999999998,0.0,3.2516195895239703,20.99216448,,0.514149666585785
1/1/1999,-43.125,40.141999999999996,83.0,-3.59063005447388,22.784000000000002,0.0,2.7405352298984,25.83264222,,0.52647887324966
1/31/1999,-43.125,29.425,83.0,-3.59063005447388,22.971999999999998,19.710159624,1.95411750063946,24.69414708,,0.8879623334847891
3/2/1999,-43.125,28.458000000000002,83.0,-3.59063005447388,22.331,8.04577284,2.29101638968827,24.38313336,,0.8865837224089742
4/1/1999,-43.125,30.294,83.0,-3.59063005447388,22.568,4.281237684,1.88430844925404,22.89088224,,0.850821481806578
5/1/1999,-43.125,27.709,83.0,-3.59063005447388,22.614,10.817238095999999,2.03861723743495,18.9789768,,0.935272776971557
5/31/1999,-43.125,27.586,83.0,-3.59063005447388,23.146,6.3240073848,1.48819513961731,16.782244199999997,,0.9365958059223409
6/30/1999,-43.125,31.451999999999998,83.0,-3.59063005447388,21.287,0.1991271384,1.99083012351161,23.10524856,,0.735790050582097
7/30/1999,-43.125,31.881999999999998,83.0,-3.59063005447388,18.88,0.18196106399999998,2.30242573700273,24.46093332,,0.6964296288399521
8/29/1999,-43.125,36.381,83.0,-3.59063005447388,21.252,0.0,2.81073486017734,22.28225436,,0.624258471865182
9/28/1999,-43.125,34.066,83.0,-3.59063005447388,23.462,0.527000652,3.2492854533139104,18.71314281,,0.576337370639047
10/28/1999,-43.125,35.641999999999996,83.0,-3.59063005447388,23.715,0.034332264,2.53698088298904,14.52943224,,0.58068936724174
11/27/1999,-43.125,31.223000000000003,83.0,-3.59063005447388,23.279,5.5635496056,2.3727698014525402,14.49640728,,0.776330231371322
12/27/1999,-43.125,27.701,83.0,-3.59063005447388,23.163,4.6108296,1.52028384258816,8.45319852,,0.895537353312383
1/26/2000,-43.125,35.809,83.0,-3.59063005447388,20.439,0.08239752,2.12731891081677,23.73238296,,0.698932307267054
2/25/2000,-43.125,30.936999999999998,83.0,-3.59063005447388,19.167,2.138902776,1.48506342443656,21.559725648,,0.8749731463579251
3/26/2000,-43.125,27.234,83.0,-3.59063005447388,22.82,8.040622824,1.51581124139542,11.233801800000002,,0.941017040976345
4/25/2000,-43.125,28.228,83.0,-3.59063005447388,22.643,8.9572871304,1.75708309414058,16.80969294,,0.92819953533004
5/25/2000,-43.125,29.56,83.0,-3.59063005447388,22.208000000000002,2.276229564,1.62811265257474,18.33378966,,0.824103891127298
6/24/2000,-43.125,31.095,83.0,-3.59063005447388,21.193,1.8093109319999998,2.4208770454132202,22.02681978,,0.814826624616874
7/24/2000,-43.125,31.340999999999998,83.0,-3.59063005447388,21.627,5.7163259879999995,1.8344584913811601,14.64041376,,0.8011861175150921
8/23/2000,-43.125,34.691,83.0,-3.59063005447388,22.570999999999998,0.0,2.8168333205603395,22.666221,,0.614391724880928
9/22/2000,-43.125,33.451,83.0,-3.59063005447388,24.32,0.36907188479999997,2.8280404855597205,22.45285908,,0.568614662244015
10/22/2000,-43.125,37.334,83.0,-3.59063005447388,22.026,0.0,2.62069038103263,20.221080227999998,,0.558435648091738
11/21/2000,-43.125,37.58,83.0,-3.59063005447388,24.668000000000003,0.0,3.2265697294027595,20.51831286,,0.531908993094405
12/21/2000,-43.125,35.010999999999996,83.0,-3.59063005447388,22.539,0.0411987312,2.32527455183469,19.9334808,,0.641938618215089
1/20/2001,-43.125,28.307,83.0,-3.59063005447388,21.805999999999997,10.58979276,2.06460426590451,21.11900832,,0.882133457481049
