"Date","Longitude","Latitude","Elevation","Max Temperature","Min Temperature","Precipitation","Wind","Relative Humidity","Solar"
"1/1/1979","-60.9375","0.468342989683151","102","33.531","20.013","0","1.54198951155414","0.692586244657278","26.40521934",
"1/2/1979","-60.9375","0.468342989683151","102","30.412","22.448","0.3416060664","1.27921759937225","0.713032846908884","23.37413148",
"1/3/1979","-60.9375","0.468342989683151","102","33.429","20.114","0.87375636","1.5639384441002","0.734500978355697","26.4154455",
"1/4/1979","-60.9375","0.468342989683151","102","32.693","19.989","0.1476288","1.86548819505268","0.71116015761474","21.6815625",
"1/5/1979","-60.9375","0.468342989683151","102","30.183","20.134","0.0034332264","1.16905820313092","0.757039674952041","16.77195018",
"1/6/1979","-60.9375","0.468342989683151","102","31.8","21.648","0","1.71219788463761","0.690243040582657","18.5084469",
"1/7/1979","-60.9375","0.468342989683151","102","31.522","21.576","0","1.82229974061464","0.670517272588003","21.54420072",
"1/8/1979","-60.9375","0.468342989683151","102","33.348","21.197","0","2.02465811706042","0.605434126832349","26.30115198",
"1/9/1979","-60.9375","0.468342989683151","102","34.222","23.611","0","2.08120890341542","0.547167851626031","24.7498929",
"1/10/1979","-60.9375","0.468342989683151","102","33.436","22.337","0","1.64112213729073","0.586656807555691","20.5392357",
"1/11/1979","-60.9375","0.468342989683151","102","34.206","24.112","0.0137329056","1.89177888680384","0.58223042793368","16.50054726",
"1/12/1979","-60.9375","0.468342989683151","102","31.737","22.876","0","2.03371826654456","0.63507416685717","12.41234856",
"1/13/1979","-60.9375","0.468342989683151","102","33.386","22.371","0","2.49696926414439","0.570781519641183","27.00411408",
"1/14/1979","-60.9375","0.468342989683151","102","33.679","21.725","0","2.37948755504838","0.559939725706541","27.13870728",
"1/15/1979","-60.9375","0.468342989683151","102","33.526","20.622","0","2.09648490717656","0.529136735054283","23.6682036",
"1/16/1979","-60.9375","0.468342989683151","102","33.83","21.964","0","2.16574469569966","0.507915836479915","26.4385737",
"1/17/1979","-60.9375","0.468342989683151","102","34.367","23.098","0","1.9905043174","0.503114134262643","25.47652662",
"1/18/1979","-60.9375","0.468342989683151","102","33.784","23.066","0","2.03485975740782","0.486604189404509","19.9729728",
"1/19/1979","-60.9375","0.468342989683151","102","34.304","23.274","0","1.74903665110831","0.521945498591151","23.424076872",
"1/20/1979","-60.9375","0.468342989683151","102","35.049","23.162","0","2.09328725449879","0.507284518462794","27.276806232",
"1/21/1979","-60.9375","0.468342989683151","102","34.616","23.105","0.2660751864","2.00967075246439","0.538075144227626","24.1898022",
"1/22/1979","-60.9375","0.468342989683151","102","35.602","24.623","0.248909328","1.59988313893017","0.582666467554562","14.646883248",
"1/23/1979","-60.9375","0.468342989683151","102","34.957","22.85","2.2418962344","1.66380141201212","0.712706004000169","16.73133444",
"1/24/1979","-60.9375","0.468342989683151","102","33.461","20.854","2.2813794","1.6137853628297","0.714964038796586","20.3182947",
"1/25/1979","-60.9375","0.468342989683151","102","29.819","21.435","0","2.02424026635492","0.6954593021107","18.86124114",
