,Date,Elevation,Latitude,Longitude,Max Temperature,Min Temperature,Precipitation,Relative Humidity,Solar,Wind
1/6/1998,-47.5,28.919,705.0,-20.7632007598877,20.864,31.20289236,1.97139691826863,30.980756699999997,,0.8873502199024179
2/5/1998,-47.5,31.415,705.0,-20.7632007598877,21.245,6.876759599999999,1.77046323706207,24.1616241,,0.809076863809499
3/7/1998,-47.5,27.435,705.0,-20.7632007598877,20.165,4.51641384,2.6445693983389305,25.87089096,,0.8507513023124901
4/6/1998,-47.5,22.565,705.0,-20.7632007598877,15.637,0.3295898424,2.7134684204910395,14.69998224,,0.893507483322702
5/6/1998,-47.5,19.666,705.0,-20.7632007598877,13.821,0.22315982399999998,2.61281751468793,9.26645616,,0.857397140354724
6/5/1998,-47.5,18.439,705.0,-20.7632007598877,14.189,0.1270294128,3.43473252325077,7.789048200000001,,0.848924034755567
7/5/1998,-47.5,24.463,705.0,-20.7632007598877,13.685,1.582717752,2.6486377867267903,17.375000399999998,,0.7967450867384659
8/4/1998,-47.5,28.954,705.0,-20.7632007598877,15.435,0.0,2.7072038131322302,13.88880342,,0.5357018560410189
9/3/1998,-47.5,29.633000000000003,705.0,-20.7632007598877,16.343,0.0,2.8042055770256202,24.29910036,,0.44098582023231997
10/3/1998,-47.5,32.713,705.0,-20.7632007598877,16.840999999999998,1.9157381999999998,3.03135986464715,20.58019092,,0.635163792291476
11/2/1998,-47.5,25.531,705.0,-20.7632007598877,16.49,1.1449816488,3.3860885243203698,27.02958588,,0.7698155067943041
12/2/1998,-47.5,32.43,705.0,-20.7632007598877,18.667,0.0,2.6422805800153597,27.00675108,,0.660334628613705
1/1/1999,-47.5,30.695,705.0,-20.7632007598877,18.907,7.42435362,1.5880582118624198,31.25025342,,0.860971927172201
1/31/1999,-47.5,23.243000000000002,705.0,-20.7632007598877,19.226,10.941701364000002,1.5063952679851,10.9124424,,0.9616854879790379
3/2/1999,-47.5,24.925,705.0,-20.7632007598877,18.061,11.133956375999999,1.6413024329638999,12.22413498,,0.9372028793355021
4/1/1999,-47.5,27.393,705.0,-20.7632007598877,18.727,4.48036344,2.53311899690804,24.73616178,,0.8691732796908019
5/1/1999,-47.5,25.114,705.0,-20.7632007598877,14.874,0.183677724,2.2511093062748597,18.43324326,,0.8180612444472021
5/31/1999,-47.5,18.333,705.0,-20.7632007598877,6.814000000000019,0.16822812239999999,1.6853467733363,10.731376800000001,,0.8504063223920492
6/30/1999,-47.5,22.164,705.0,-20.7632007598877,14.399000000000001,1.854800964,1.18048911612314,7.12175922,,0.825875993048553
7/30/1999,-47.5,27.206999999999997,705.0,-20.7632007598877,18.955,0.0,2.507614513062,10.576349892,,0.548599113674034
8/29/1999,-47.5,33.187,705.0,-20.7632007598877,16.863,0.0,2.4520075188034403,22.13381358,,0.38299534448776
9/28/1999,-47.5,34.118,705.0,-20.7632007598877,16.598,0.0,2.29358899814067,24.84551736,,0.46789565223552504
10/28/1999,-47.5,27.599,705.0,-20.7632007598877,15.118,3.661538904,2.7221576800324603,28.50716808,,0.736745627053423
