"Date","Longitude","Latitude","Elevation","Max Temperature","Min Temperature","Precipitation","Wind","Relative Humidity","Solar"
"1/1/1979","-37.5","-11.0840997695923","145","30.696","21.405","1.94921568","2.70568192426023","0.693421994898951","17.27291268",
"1/2/1979","-37.5","-11.0840997695923","145","31.954","20.763","0.01373292","2.94874701196446","0.686282729394314","28.56178152",
"1/3/1979","-37.5","-11.0840997695923","145","31.476","19.961","0.504684936","2.67408113453275","0.712431150684513","28.59592608",
"1/4/1979","-37.5","-11.0840997695923","145","32.376","20.492","0","3.00448694618008","0.676906356620158","28.89089838",
"1/5/1979","-37.5","-11.0840997695923","145","33.654","20.107","0","2.87151478919081","0.677822968773931","28.8885357",
"1/6/1979","-37.5","-11.0840997695923","145","33.543","20.612","0","2.65314651951343","0.6710683685639","28.6580268",
"1/7/1979","-37.5","-11.0840997695923","145","34.151","21.532","0","3.32934107330183","0.640149571223781","28.84854798",
"1/8/1979","-37.5","-11.0840997695923","145","34.867","23.438","0.0102996864","3.25891309581191","0.557908857750187","21.541895928",
"1/9/1979","-37.5","-11.0840997695923","145","34.823","24.438","0.0034332264","3.56252673835222","0.525016412562209","28.58438952",
"1/10/1979","-37.5","-11.0840997695923","145","33.274","21.578","0","2.75847045597548","0.609397848326075","23.6648736",
"1/11/1979","-37.5","-11.0840997695923","145","32.635","22.097","4.516406964","2.89284534370367","0.70628874718822","26.7904701",
"1/12/1979","-37.5","-11.0840997695923","145","32.732","20.617","0.0411987312","2.99086755026844","0.682650602799106","28.6241571",
"1/13/1979","-37.5","-11.0840997695923","145","33.414","21.84","0","2.95206883260406","0.651960710254092","24.8091732",
"1/14/1979","-37.5","-11.0840997695923","145","32.269","22.707","1.77841134","2.65054513933864","0.664283513297819","22.9925214",
"1/15/1979","-37.5","-11.0840997695923","145","29.695","23.478","0.605965176","2.77421169027716","0.680264820066355","13.7777652",
"1/16/1979","-37.5","-11.0840997695923","145","31.927","21.516","0.9364128264","3.03244019199887","0.688086488248365","27.89133282",
"1/17/1979","-37.5","-11.0840997695923","145","31.969","21.014","0.95615388","2.94825310685796","0.698952925465622","28.292454",
"1/18/1979","-37.5","-11.0840997695923","145","33.267","22.017","0","3.10468259940773","0.639910453292532","28.745771688",
"1/19/1979","-37.5","-11.0840997695923","145","33.88","21.296","0","2.92801552317812","0.653285144990128","27.092363832",
"1/20/1979","-37.5","-11.0840997695923","145","32.515","21.219","0.125312688","2.77987530849492","0.710154389868648","28.0151991",
"1/21/1979","-37.5","-11.0840997695923","145","33.01","20.407","0","2.62987135119892","0.70360481826981","29.137382352",
"1/22/1979","-37.5","-11.0840997695923","145","34.014","18.203","0","2.50793505634067","0.692899446112333","29.1223674",
