"Date","Longitude","Latitude","Elevation","Max Temperature","Min Temperature","Precipitation","Wind","Relative Humidity","Solar"
"1/1/1979","-49.0625","-12.0207996368408","307","27.915","20.562","9.668826","2.10630204884893","0.889125036036156","29.47010832",
"1/2/1979","-49.0625","-12.0207996368408","307","28.562","20.888","5.58585864","2.1086889413434","0.896501976517175","21.05831772",
"1/3/1979","-49.0625","-12.0207996368408","307","27.962","20.748","4.701803112","1.81869725492524","0.884503007127095","29.74972428",
"1/4/1979","-49.0625","-12.0207996368408","307","29.277","19.872","1.095199524","1.32083584354633","0.855144380379531","29.8908036",
"1/5/1979","-49.0625","-12.0207996368408","307","30.342","19.757","9.92717928","0.94963931910037","0.890582008302947","21.23454528",
"1/6/1979","-49.0625","-12.0207996368408","307","31.406","20.051","4.57134318","1.08701703656422","0.862509275679284","29.54963592",
"1/7/1979","-49.0625","-12.0207996368408","307","26.797","20.863","16.7713116264","1.64120033480282","0.941006611232482","21.52761138",
"1/8/1979","-49.0625","-12.0207996368408","307","26.386","22.271","24.0892400664","1.60101836145374","0.954861985796386","14.35911156",
"1/9/1979","-49.0625","-12.0207996368408","307","22.724","19.88","25.81615476","1.85062915171497","0.965945934865814","4.56861942",
"1/10/1979","-49.0625","-12.0207996368408","307","26.564","20.331","0.1802444904","0.721424138228109","0.916314275785552","12.24888876",
"1/11/1979","-49.0625","-12.0207996368408","307","29.963","21.286","7.1436927168","1.03097309058611","0.90541693581499","23.20154568",
"1/12/1979","-49.0625","-12.0207996368408","307","27.433","21.848","5.817603744","1.71412065097775","0.904935641904065","26.37579834",
"1/13/1979","-49.0625","-12.0207996368408","307","28.492","21.927","6.06307734","1.31764401710361","0.911352022024752","21.33291708",
"1/14/1979","-49.0625","-12.0207996368408","307","27.075","21.456","8.074950264","1.17280647708201","0.941666978317067","19.4924826",
"1/15/1979","-49.0625","-12.0207996368408","307","25.017","22.234","35.41715856","0.89560535579866","0.970593946982214","5.39713152",
"1/16/1979","-49.0625","-12.0207996368408","307","23.366","21.787","35.4206088","1.15803454550801","0.97430437119232","2.67344946",
"1/17/1979","-49.0625","-12.0207996368408","307","21.837","20.527","59.88746808","2.4631319998169","0.974887749162517","3.03924564",
"1/18/1979","-49.0625","-12.0207996368408","307","23.815","20.269","10.18552806","1.62086317399533","0.966831318729405","8.04734838",
