year,state,month,number,date
1998,Acre,Janeiro,0,"Thursday, January 1, 1998"
1999,Acre,Janeiro,0,"Friday, January 1, 1999"
2000,Acre,Janeiro,0,"Saturday, January 1, 2000"
2001,Acre,Janeiro,0,"Monday, January 1, 2001"
2002,Acre,Janeiro,0,"Tuesday, January 1, 2002"
2003,Acre,Janeiro,10,"Wednesday, January 1, 2003"
2004,Acre,Janeiro,0,"Thursday, January 1, 2004"
2005,Acre,Janeiro,12,"Saturday, January 1, 2005"
2006,Acre,Janeiro,4,"Sunday, January 1, 2006"
2007,Acre,Janeiro,0,"Monday, January 1, 2007"
2008,Acre,Janeiro,0,"Tuesday, January 1, 2008"
2009,Acre,Janeiro,0,"Thursday, January 1, 2009"
2010,Acre,Janeiro,1,"Friday, January 1, 2010"
2011,Acre,Janeiro,0,"Saturday, January 1, 2011"
2012,Acre,Janeiro,0,"Sunday, January 1, 2012"
2013,Acre,Janeiro,0,"Tuesday, January 1, 2013"
2014,Acre,Janeiro,0,"Wednesday, January 1, 2014"
2015,Acre,Janeiro,1,"Thursday, January 1, 2015"
2016,Acre,Janeiro,12,"Friday, January 1, 2016"
2017,Acre,Janeiro,0,"Sunday, January 1, 2017"
1998,Acre,Fevereiro,0,"Thursday, January 1, 1998"
1999,Acre,Fevereiro,0,"Friday, January 1, 1999"
2000,Acre,Fevereiro,0,"Saturday, January 1, 2000"
2001,Acre,Fevereiro,0,"Monday, January 1, 2001"
2002,Acre,Fevereiro,1,"Tuesday, January 1, 2002"
2003,Acre,Fevereiro,0,"Wednesday, January 1, 2003"
2004,Acre,Fevereiro,3,"Thursday, January 1, 2004"
2005,Acre,Fevereiro,0,"Saturday, January 1, 2005"
2006,Acre,Fevereiro,0,"Sunday, January 1, 2006"
2007,Acre,Fevereiro,5,"Monday, January 1, 2007"
2008,Acre,Fevereiro,0,"Tuesday, January 1, 2008"
2009,Acre,Fevereiro,2,"Thursday, January 1, 2009"
2010,Acre,Fevereiro,0,"Friday, January 1, 2010"
2011,Acre,Fevereiro,0,"Saturday, January 1, 2011"
2012,Acre,Fevereiro,0,"Sunday, January 1, 2012"
2013,Acre,Fevereiro,0,"Tuesday, January 1, 2013"
2014,Acre,Fevereiro,0,"Wednesday, January 1, 2014"
2015,Acre,Fevereiro,2,"Thursday, January 1, 2015"
2016,Acre,Fevereiro,5,"Friday, January 1, 2016"
2017,Acre,Fevereiro,1,"Sunday, January 1, 2017"
1998,Acre,Março,0,"Thursday, January 1, 1998"
1999,Acre,Março,0,"Friday, January 1, 1999"
2000,Acre,Março,11,"Saturday, January 1, 2000"
2001,Acre,Março,0,"Monday, January 1, 2001"
2002,Acre,Março,0,"Tuesday, January 1, 2002"
2003,Acre,Março,0,"Wednesday, January 1, 2003"
2004,Acre,Março,0,"Thursday, January 1, 2004"
2005,Acre,Março,3,"Saturday, January 1, 2005"
2006,Acre,Março,0,"Sunday, January 1, 2006"
2007,Acre,Março,2,"Monday, January 1, 2007"
2008,Acre,Março,0,"Tuesday, January 1, 2008"
2009,Acre,Março,1,"Thursday, January 1, 2009"
2010,Acre,Março,0,"Friday, January 1, 2010"
2011,Acre,Março,0,"Saturday, January 1, 2011"
2012,Acre,Março,1,"Sunday, January 1, 2012"
2013,Acre,Março,2,"Tuesday, January 1, 2013"
2014,Acre,Março,1,"Wednesday, January 1, 2014"
2015,Acre,Março,2,"Thursday, January 1, 2015"
2016,Acre,Março,0,"Friday, January 1, 2016"
2017,Acre,Março,0,"Sunday, January 1, 2017"
1998,Acre,Abril,0,"Thursday, January 1, 1998"
1999,Acre,Abril,0,"Friday, January 1, 1999"
2000,Acre,Abril,1,"Saturday, January 1, 2000"
2001,Acre,Abril,0,"Monday, January 1, 2001"
2002,Acre,Abril,0,"Tuesday, January 1, 2002"
2003,Acre,Abril,1,"Wednesday, January 1, 2003"
2004,Acre,Abril,2,"Thursday, January 1, 2004"
2005,Acre,Abril,1,"Saturday, January 1, 2005"
