,Years,Longitude,Latitude,Elevation,Max Temperature,Min Temperature,Precipitation,Relative Humidity,Wind,April,August,December,February,January,July,June,March,May,November,October,September,Acre,Alagoas,Amapa,Amazonas,Bahia,Ceara,Distrito Federal,Espirito Santo,Goias,Maranhao,Mato Grosso,Minas Gerais,Paraiba,Pará,Pernambuco,Piau,Rio
0,1998,-41.875,31.669,765.0,17.611,0.03776549,2.286655716,13.89622572,0.672459248,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1999,-41.875,33.769,765.0,18.05,0.0,2.509905168,21.75879555,0.529552221,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2000,-41.875,28.666999999999998,765.0,16.748,0.0,2.728657953,18.32625252,0.654779995,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2001,-41.875,30.133000000000003,765.0,15.273,0.07209782599999999,3.24253231,21.97631844,0.664559334,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2002,-41.875,23.284000000000002,765.0,16.397000000000002,0.460052842,3.0794987710000004,8.75553336,0.7735979620000001,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2003,-41.875,24.855,765.0,13.704,0.401687244,2.885637845,9.95759622,0.7382262490000001,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2004,-41.875,24.381999999999998,765.0,13.558,0.16822812199999998,2.580650721,17.75064402,0.745971155,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2005,-41.875,24.323,765.0,13.277000000000001,1.1157983059999999,3.3582548130000003,15.59030706,0.783531001,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2006,-41.875,27.07,765.0,14.200999999999999,0.660896676,3.284467943,15.73931304,0.714101703,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2007,-41.875,30.721,765.0,16.590999999999998,0.05836482,3.9753954510000002,26.54842428,0.581171344,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2008,-41.875,30.469,765.0,18.704,8.51268456,1.867090331,18.88407522,0.808038425,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2009,-41.875,25.221,765.0,18.192999999999998,3.577422564,1.762486913,15.06695994,0.881553728,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,2010,-41.875,31.428,765.0,18.359,0.793074953,2.535491104,15.5455884,0.745356735,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,2011,-41.875,30.730999999999998,765.0,15.734000000000002,0.0,2.5779966290000003,31.291844399999995,0.627166892,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,2012,-41.875,27.069000000000003,765.0,19.54,12.2291555,1.5091966890000001,15.19149096,0.9067988929999999,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,2013,-41.875,26.276999999999997,765.0,15.261,0.102996713,2.780468187,19.64474892,0.811702913,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,2014,-41.875,19.993,765.0,17.829,1.61361774,2.442011027,4.21610058,0.915663388,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,2015,-41.875,26.58,765.0,13.177999999999999,2.25133776,1.659647476,9.15243642,0.783837645,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,2016,-41.875,26.570999999999998,765.0,14.270999999999999,0.06694794700000001,1.641856803,14.85765126,0.7232138690000001,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,2017,-41.875,23.371,765.0,14.020999999999999,0.29869097,2.1111303919999997,11.90626794,0.785432885,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,1998,-41.875,26.427,765.0,11.57,0.0,2.609151278,20.47111884,0.677049144,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,1999,-41.875,28.514,765.0,14.34,0.0,3.350092225,23.54506891,0.6420717020000001,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,2000,-41.875,20.352,765.0,17.221,4.442598216,2.266291867,4.19067738,0.9269553340000001,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,2001,-41.875,27.179000000000002,765.0,17.076,6.5128378389999995,2.244440195,27.45871128,0.8725321,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,2002,-41.875,26.046999999999997,765.0,14.376,1.308059755,2.09577771,24.146937,0.86031088,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,2003,-41.875,27.16,765.0,16.344,1.5003201169999998,2.332866054,24.56454402,0.875054784,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,2004,-41.875,28.965999999999998,765.0,15.194,0.04806522,1.9568493219999998,29.04057943,0.7819122829999999,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,2005,-41.875,27.588,765.0,17.316,0.12702947,2.3963608919999997,25.46589132,0.792336846,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,2006,-41.875,25.021,765.0,14.552,0.314140284,2.806949235,23.2482411,0.7649764520000001,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,2007,-41.875,21.78,765.0,14.745,0.841140468,2.562850002,9.72242496,0.856498086,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,2008,-41.875,22.066999999999997,765.0,11.129000000000001,0.477218772,2.7222384639999997,10.3984308,0.805164498,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,2009,-41.875,29.408,765.0,14.659,0.020599358,2.578284785,19.96571052,0.6897469509999999,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,2010,-41.875,23.144000000000002,765.0,14.855,0.496959725,2.594625657,9.679502628,0.820324775,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,2011,-41.875,28.281999999999996,765.0,10.883,0.0,2.595971674,28.23338621,0.566871637,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,2012,-41.875,32.86,765.0,16.399,0.0,3.002055555,21.92135994,0.5678117079999999,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,2013,-41.875,29.294,765.0,17.502,0.0,3.0479341310000003,30.631514399999997,0.6086685479999999,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,2014,-41.875,27.051,765.0,18.953,16.56874848,1.181783633,26.1219924,0.92347475,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,2015,-41.875,29.813000000000002,765.0,15.078,4.638295332,1.5915422430000001,30.24977868,0.7958856209999999,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,2016,-41.875,30.213,765.0,16.375,0.09269712,2.384897909,22.54095441,0.701718153,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,2017,-41.875,28.425,765.0,15.137,0.010299679,2.583495287,23.74138224,0.7368041820000001,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,1998,-41.875,30.146,765.0,14.659,0.31929012,1.7068733280000001,19.03454532,0.67657537,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
